alpha,regime,seed,total_wd
0.05,OFF,100,4332
0.05,OFF,101,4313
0.05,OFF,102,4309
0.05,OFF,103,4524
0.05,OFF,104,4474
0.05,OFF,105,4371
0.05,OFF,106,4351
0.05,OFF,107,4521
0.05,OFF,108,4466
0.05,OFF,109,4439
0.05,OFF,110,4441
0.05,OFF,111,4382
0.05,OFF,112,4370
0.05,OFF,113,4452
0.05,OFF,114,4475
0.05,OFF,115,4400
0.05,OFF,116,4443
0.05,OFF,117,4492
0.05,OFF,118,4317
0.05,OFF,119,4257
0.05,OFF,120,4314
0.05,OFF,121,4351
0.05,OFF,122,4330
0.05,OFF,123,4391
0.05,OFF,124,4406
0.05,OFF,125,4575
0.05,OFF,126,4490
0.05,OFF,127,4484
0.05,OFF,128,4328
0.05,OFF,129,4418
0.05,ON_unbounded,100,4752
0.05,ON_unbounded,101,4753
0.05,ON_unbounded,102,4706
0.05,ON_unbounded,103,4868
0.05,ON_unbounded,104,4898
0.05,ON_unbounded,105,4668
0.05,ON_unbounded,106,4861
0.05,ON_unbounded,107,4791
0.05,ON_unbounded,108,4775
0.05,ON_unbounded,109,4748
0.05,ON_unbounded,110,4717
0.05,ON_unbounded,111,4694
0.05,ON_unbounded,112,4723
0.05,ON_unbounded,113,4721
0.05,ON_unbounded,114,4641
0.05,ON_unbounded,115,4692
0.05,ON_unbounded,116,4828
0.05,ON_unbounded,117,4729
0.05,ON_unbounded,118,4708
0.05,ON_unbounded,119,4780
0.05,ON_unbounded,120,4745
0.05,ON_unbounded,121,4837
0.05,ON_unbounded,122,4561
0.05,ON_unbounded,123,4746
0.05,ON_unbounded,124,4761
0.05,ON_unbounded,125,4719
0.05,ON_unbounded,126,4655
0.05,ON_unbounded,127,4846
0.05,ON_unbounded,128,4853
0.05,ON_unbounded,129,4726
0.05,W12_both,100,4662
0.05,W12_both,101,4572
0.05,W12_both,102,4705
0.05,W12_both,103,4728
0.05,W12_both,104,4550
0.05,W12_both,105,4601
0.05,W12_both,106,4666
0.05,W12_both,107,4625
0.05,W12_both,108,4685
0.05,W12_both,109,4394
0.05,W12_both,110,4679
0.05,W12_both,111,4725
0.05,W12_both,112,4452
0.05,W12_both,113,4547
0.05,W12_both,114,4748
0.05,W12_both,115,4672
0.05,W12_both,116,4594
0.05,W12_both,117,4550
0.05,W12_both,118,4668
0.05,W12_both,119,4588
0.05,W12_both,120,4656
0.05,W12_both,121,4647
0.05,W12_both,122,4563
0.05,W12_both,123,4663
0.05,W12_both,124,4724
0.05,W12_both,125,4620
0.05,W12_both,126,4672
0.05,W12_both,127,4749
0.05,W12_both,128,4581
0.05,W12_both,129,4730
0.15,OFF,100,4332
0.15,OFF,101,4313
0.15,OFF,102,4309
0.15,OFF,103,4524
0.15,OFF,104,4474
0.15,OFF,105,4371
0.15,OFF,106,4351
0.15,OFF,107,4521
0.15,OFF,108,4466
0.15,OFF,109,4439
0.15,OFF,110,4441
0.15,OFF,111,4382
0.15,OFF,112,4370
0.15,OFF,113,4452
0.15,OFF,114,4475
0.15,OFF,115,4400
0.15,OFF,116,4443
0.15,OFF,117,4492
0.15,OFF,118,4317
0.15,OFF,119,4257
0.15,OFF,120,4314
0.15,OFF,121,4351
0.15,OFF,122,4330
0.15,OFF,123,4391
0.15,OFF,124,4406
0.15,OFF,125,4575
0.15,OFF,126,4490
0.15,OFF,127,4484
0.15,OFF,128,4328
0.15,OFF,129,4418
0.15,ON_unbounded,100,4812
0.15,ON_unbounded,101,4749
0.15,ON_unbounded,102,4749
0.15,ON_unbounded,103,4887
0.15,ON_unbounded,104,4745
0.15,ON_unbounded,105,4867
0.15,ON_unbounded,106,4676
0.15,ON_unbounded,107,4768
0.15,ON_unbounded,108,4679
0.15,ON_unbounded,109,4760
0.15,ON_unbounded,110,4733
0.15,ON_unbounded,111,4782
0.15,ON_unbounded,112,4786
0.15,ON_unbounded,113,4638
0.15,ON_unbounded,114,4854
0.15,ON_unbounded,115,4879
0.15,ON_unbounded,116,4669
0.15,ON_unbounded,117,4557
0.15,ON_unbounded,118,4797
0.15,ON_unbounded,119,4710
0.15,ON_unbounded,120,4781
0.15,ON_unbounded,121,4723
0.15,ON_unbounded,122,4750
0.15,ON_unbounded,123,4797
0.15,ON_unbounded,124,4799
0.15,ON_unbounded,125,4757
0.15,ON_unbounded,126,4686
0.15,ON_unbounded,127,4974
0.15,ON_unbounded,128,4804
0.15,ON_unbounded,129,4714
0.15,W12_both,100,4615
0.15,W12_both,101,4627
0.15,W12_both,102,4659
