k,OFF_mean,OFF_sd,OFF_se,ON_mean,ON_sd,ON_se,cascade,cascade_se,cascade_lo,cascade_hi,ci_excludes_zero
-4,0.00863431795070899,0.011871374559998015,0.002167406545034626,0.008704519319126929,0.014289717303467193,0.0026089335024936256,7.020136841794424e-05,0.003375874984780082,-0.0065465136017510165,0.006686916338586905,False
-3,0.002176975484689762,0.010969282489417165,0.002002707819700068,0.0028615517902034174,0.010877115083143329,0.0019858804305390937,0.0006845763055136552,0.003051374582854868,-0.005296117876881886,0.006665270487909197,False
-2,-4.6588167351702124e-17,1.6327053260965229e-15,2.9808984562063125e-16,-1.2419355185459373e-16,1.4821784287725214e-15,2.7060751989542473e-16,-7.76053845028916e-17,4.512730031315146e-16,-9.621004706406603e-16,8.06889701634877e-16,False
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0,-6.605321035505855e-17,1.5986270003822185e-15,2.918680230487203e-16,1.300789626475692e-16,1.2171723660895534e-15,2.2222425375972815e-16,1.9613217300262775e-16,3.494045139726914e-16,-4.887006743838474e-16,8.809650203891029e-16,False
1,-0.11091315816531228,0.025021992102149955,0.004568369836021213,-0.12325061605668436,0.037243989397444,0.006799791041487773,-0.012337457891372059,0.008029919723265166,-0.028076100548971784,0.003401184766227666,False
2,0.0012629032115801157,0.02174370732789267,0.003969839662425732,-0.0014985390449791733,0.023294596509227397,0.004252991992028315,-0.0027614422565592897,0.006620391221093107,-0.015737409049901778,0.0102145245367832,False
3,0.023098563586487937,0.020961865146098473,0.0038270954626331527,0.03199261499527656,0.023187286986844993,0.004233400043346999,0.008894051408788623,0.006520775918133264,-0.003886669390752575,0.02167477220832982,False
4,0.029659508192165954,0.01808989547835207,0.003302747938801379,0.03380799081935888,0.019558612207996734,0.0035708976999385784,0.004148482627192934,0.005825017503099862,-0.007268551678882796,0.015565516933268665,False
5,0.031035046658700795,0.01675787441071704,0.0030595552768627717,0.04547363424869611,0.015221895977588652,0.0027791252649741523,0.014438587589995321,0.004461592375801891,0.005693866533423615,0.02318330864656703,True
6,0.03823456097264372,0.016365950843890024,0.0029880001507397586,0.04385066922522562,0.015516794116603307,0.002832966052609026,0.005616108252581906,0.0036872953388398947,-0.001610990611544288,0.0128432071167081,False
7,0.03813429589706837,0.012849176237589613,0.0023459278902290635,0.04212758471911367,0.014851865080934619,0.0027115671752837266,0.003993288822045301,0.003836325145997037,-0.0035259084641088914,0.011512486108199493,False
8,0.02887672773119646,0.01378595596216435,0.002516959685750084,0.03833487987249053,0.013932634164605641,0.0025437393391405517,0.00945815214129407,0.0040590740209188,0.001502367060293221,0.017413937222294916,True
