scale,regime,seed,total_wd,evaporated_U
0.1,OFF,100,4332,0.0
0.1,OFF,101,4313,0.0
0.1,OFF,102,4309,0.0
0.1,OFF,103,4524,0.0
0.1,OFF,104,4474,0.0
0.1,OFF,105,4371,0.0
0.1,OFF,106,4351,0.0
0.1,OFF,107,4521,0.0
0.1,OFF,108,4466,0.0
0.1,OFF,109,4439,0.0
0.1,OFF,110,4441,0.0
0.1,OFF,111,4382,0.0
0.1,OFF,112,4370,0.0
0.1,OFF,113,4452,0.0
0.1,OFF,114,4475,0.0
0.1,OFF,115,4400,0.0
0.1,OFF,116,4443,0.0
0.1,OFF,117,4492,0.0
0.1,OFF,118,4317,0.0
0.1,OFF,119,4257,0.0
0.1,OFF,120,4314,0.0
0.1,OFF,121,4351,0.0
0.1,OFF,122,4330,0.0
0.1,OFF,123,4391,0.0
0.1,OFF,124,4406,0.0
0.1,OFF,125,4575,0.0
0.1,OFF,126,4490,0.0
0.1,OFF,127,4484,0.0
0.1,OFF,128,4328,0.0
0.1,OFF,129,4418,0.0
0.1,ON_unbounded,100,4766,35316585470.00114
0.1,ON_unbounded,101,4670,36858816530.741005
0.1,ON_unbounded,102,4779,34680918366.45374
0.1,ON_unbounded,103,4960,37839797809.35974
0.1,ON_unbounded,104,4705,34511835284.56678
0.1,ON_unbounded,105,4735,34073626332.602745
0.1,ON_unbounded,106,4785,35002843042.587616
0.1,ON_unbounded,107,4763,33536527801.56132
0.1,ON_unbounded,108,4912,36503716736.18941
0.1,ON_unbounded,109,4784,36263618040.93869
0.1,ON_unbounded,110,4815,36491249777.1366
0.1,ON_unbounded,111,4613,35329882979.42481
0.1,ON_unbounded,112,4860,36662951425.72751
0.1,ON_unbounded,113,4619,34087454000.62859
0.1,ON_unbounded,114,4723,34536637316.986145
0.1,ON_unbounded,115,4723,36475117972.45438
0.1,ON_unbounded,116,4666,34676130092.293274
0.1,ON_unbounded,117,4738,36547398526.19494
0.1,ON_unbounded,118,4754,37063943827.230095
0.1,ON_unbounded,119,4734,34980880257.934616
0.1,ON_unbounded,120,4826,36580497684.12643
0.1,ON_unbounded,121,4611,33786910084.58501
0.1,ON_unbounded,122,4638,34810678497.18013
0.1,ON_unbounded,123,4734,35567772573.24727
0.1,ON_unbounded,124,4840,36479537476.68273
0.1,ON_unbounded,125,4754,36374631855.236115
0.1,ON_unbounded,126,4814,36153517781.62067
0.1,ON_unbounded,127,4789,36708975417.0106
0.1,ON_unbounded,128,4670,35530997193.82312
0.1,ON_unbounded,129,4673,36187630443.016884
0.1,W12_both,100,4566,36685358418.70894
0.1,W12_both,101,4700,37179255846.91791
0.1,W12_both,102,4592,36558527319.103355
0.1,W12_both,103,4698,35282265795.91548
0.1,W12_both,104,4579,35250606947.7356
0.1,W12_both,105,4526,36521212449.9937
0.1,W12_both,106,4704,35801503827.36712
0.1,W12_both,107,4842,35941219336.89414
0.1,W12_both,108,4733,38136269227.78553
0.1,W12_both,109,4511,32917784722.843994
0.1,W12_both,110,4662,37734405353.12044
0.1,W12_both,111,4550,34812611718.58359
0.1,W12_both,112,4654,36831342487.434395
0.1,W12_both,113,4582,34668563765.781654
0.1,W12_both,114,4698,34539155156.91208
0.1,W12_both,115,4713,38001000901.307465
0.1,W12_both,116,4595,34570965426.825676
0.1,W12_both,117,4725,36978291750.67703
0.1,W12_both,118,4720,38936671166.54177
0.1,W12_both,119,4588,34022050966.85006
0.1,W12_both,120,4572,35166381842.21048
0.1,W12_both,121,4637,36615743236.43115
0.1,W12_both,122,4599,35083895554.06552
0.1,W12_both,123,4560,33168212468.08185
0.1,W12_both,124,4774,38385508547.99655
0.1,W12_both,125,4681,36558858953.84929
0.1,W12_both,126,4666,36453050143.685905
0.1,W12_both,127,4791,38284231421.199196
0.1,W12_both,128,4663,38161986673.74474
0.1,W12_both,129,4611,36942784877.93881
0.2,OFF,100,4332,0.0
0.2,OFF,101,4313,0.0
0.2,OFF,102,4309,0.0
0.2,OFF,103,4524,0.0
0.2,OFF,104,4474,0.0
0.2,OFF,105,4371,0.0
0.2,OFF,106,4351,0.0
0.2,OFF,107,4521,0.0
0.2,OFF,108,4466,0.0
0.2,OFF,109,4439,0.0
0.2,OFF,110,4441,0.0
0.2,OFF,111,4382,0.0
0.2,OFF,112,4370,0.0
0.2,OFF,113,4452,0.0
0.2,OFF,114,4475,0.0
0.2,OFF,115,4400,0.0
0.2,OFF,116,4443,0.0
0.2,OFF,117,4492,0.0
0.2,OFF,118,4317,0.0
0.2,OFF,119,4257,0.0
0.2,OFF,120,4314,0.0
0.2,OFF,121,4351,0.0
0.2,OFF,122,4330,0.0
0.2,OFF,123,4391,0.0
0.2,OFF,124,4406,0.0
0.2,OFF,125,4575,0.0
0.2,OFF,126,4490,0.0
0.2,OFF,127,4484,0.0
0.2,OFF,128,4328,0.0
0.2,OFF,129,4418,0.0
0.2,ON_unbounded,100,4748,38749895927.49364
0.2,ON_unbounded,101,4731,36746570523.76604
0.2,ON_unbounded,102,4762,37297602793.275475
0.2,ON_unbounded,103,4786,36203756275.85096
0.2,ON_unbounded,104,4914,35677529330.91659
0.2,ON_unbounded,105,4799,35414153042.87225
0.2,ON_unbounded,106,4738,33996413810.572205
0.2,ON_unbounded,107,4759,35013199055.241394
0.2,ON_unbounded,108,4817,36203501770.91569
0.2,ON_unbounded,109,4717,33640061235.268997
0.2,ON_unbounded,110,4706,34707872034.292656
0.2,ON_unbounded,111,4806,34857657929.32917
0.2,ON_unbounded,112,4730,35465124606.20166
0.2,ON_unbounded,113,4785,35772750287.758644
0.2,ON_unbounded,114,4675,33485867552.381344
0.2,ON_unbounded,115,4696,36630661094.39013
0.2,ON_unbounded,116,4811,35089994207.07548
0.2,ON_unbounded,117,4782,36814281343.67664
0.2,ON_unbounded,118,4623,35301972361.96036
0.2,ON_unbounded,119,4630,34839733813.60256
0.2,ON_unbounded,120,4698,35682025287.31064
0.2,ON_unbounded,121,4737,35533713011.982346
