regime,seed,n_pairs,n_events,did,did_p,pre_trend_p,k1_beta,k1_p,peak_k,peak_beta,peak_p
ON_no_pool,100,379,382,-0.0633245382585752,0.16331716037953825,0.9043912832070409,-0.10026385224274073,0.002121858089248842,6,0.06332453825857562,0.0014448839278635823
ON_no_pool,101,383,386,-0.09399477806788512,0.06259017872209904,0.20943064465387995,-0.1514360313315955,2.951363963760645e-06,8,0.046997389033943814,0.01205555867470434
ON_no_pool,102,345,347,-0.04927536231884058,0.3373327319123016,0.9536251714908511,-0.16811594202897956,4.776308750608082e-08,5,0.05507246376811475,0.0042626606515873055
ON_no_pool,103,384,388,-0.0703125,0.16352451036009152,0.8811705521097557,-0.13802083333332726,2.0012961572812925e-05,6,0.05729166666666676,0.004863839210427005
ON_no_pool,104,381,383,-0.08398950131233596,0.09262736947531969,0.2766702738830055,-0.13123359580052107,0.0001523345297544167,5,0.05249343832020499,0.0018230144373273603
ON_no_pool,105,390,391,-0.017948717948717947,0.7107572668372941,0.8208714516686819,-0.07692307692307972,0.018594431442438258,5,0.07948717948717703,3.9070772982642606e-05
ON_no_pool,106,378,379,-0.005291005291005291,0.9140482806617585,0.9401250200683412,-0.10317460317459856,0.0021680206781222564,4,0.07407407407407568,0.0003085657555450004
ON_no_pool,107,379,381,-0.08443271767810026,0.06908699637111759,0.12169836722348701,-0.12137203166226494,0.0002913630597910716,7,0.06332453825857504,0.0003311796980005925
ON_no_pool,108,355,358,0.005633802816901409,0.9073380285720931,0.8018544548487128,-0.045070422535212123,0.19152878325652267,7,0.053521126760563885,0.007355047699401415
ON_no_pool,109,377,381,-0.1273209549071618,0.005754147875903781,0.9122998742518554,-0.14323607427056173,4.060569222326461e-05,8,0.05835543766578305,7.507302496010624e-05
ON_with_pool,100,393,395,-0.020356234096692113,0.6859448371859855,0.8410831713001858,-0.1195928753180715,0.0004986858492073831,7,0.04325699745547165,0.0037647128411069674
ON_with_pool,101,386,388,-0.02072538860103627,0.6882173472770208,0.3241938831322852,-0.12694300518133728,0.00032327525576107555,6,0.08808290155440575,1.265933266840211e-06
ON_with_pool,102,344,348,-0.05232558139534884,0.2878200714804162,0.5158473800057206,-0.09883720930232717,0.003476333854045256,5,0.07267441860465193,4.3396672714336055e-05
ON_with_pool,103,375,376,-0.20266666666666666,4.57786736451915e-05,0.009455253004211808,-0.19200000000000172,8.772993440052492e-08,5,0.07200000000000065,0.0001637804311857571
ON_with_pool,104,358,360,-0.030726256983240222,0.5622673540282315,0.10143119663285324,-0.12849162011173831,0.000163191798369582,8,0.06983240223463821,4.4048811235602e-05
ON_with_pool,105,359,359,-0.04456824512534819,0.39585886596401787,0.6407239410111516,-0.12256267409470664,0.00031833198571701814,5,0.07242339832869259,0.0005368510197496368
ON_with_pool,106,376,377,-0.10372340425531915,0.028299463270350822,0.8018208290349012,-0.14095744680851574,4.899872586634284e-05,7,0.04787234042553297,0.004104733781013643
ON_with_pool,107,386,388,-0.046632124352331605,0.33384856570234445,0.9924413640836265,-0.1373056994818559,3.5962902268572545e-05,6,0.03626943005181395,0.030149638486418568
ON_with_pool,108,388,391,-0.09020618556701031,0.06613959671834313,0.2797866649487128,-0.11082474226803334,0.0003222220335916108,5,0.056701030927834545,0.0035771843382716266
ON_with_pool,109,378,380,-0.023809523809523808,0.6436016757409797,0.7890970282286149,-0.07671957671957251,0.02006039842825392,6,0.05026455026455126,0.002744528019435818
W12_both,100,390,391,-0.03333333333333333,0.49692036379700366,0.9691574821934028,-0.08461538461538651,0.013661619421217287,6,0.035897435897436075,0.01907229639434912
W12_both,101,385,386,-0.07012987012987013,0.1173144416098717,0.9875259168672919,-0.11688311688311213,0.00041601407086852576,6,0.06233766233766341,7.414621310640006e-05
W12_both,102,350,355,-0.06857142857142857,0.17180635136591427,0.26414586758248565,-0.16857142857143081,1.7873798877974704e-07,5,0.04000000000000099,0.012770905072597174
W12_both,103,390,395,-0.1076923076923077,0.02709452578162419,0.764726448248938,-0.08205128205128398,0.008106092868992937,5,0.04102564102563999,0.03504934698221732
W12_both,104,358,359,-0.0446927374301676,0.3579330149004045,0.046130043904944046,-0.0949720670391128,0.006762294229472447,5,0.05586592178771056,0.003576779557075184
W12_both,105,384,387,-0.041666666666666664,0.3546738690253315,0.1399408973541244,-0.09114583333333195,0.0040818382978257,4,0.06770833333332943,0.0012122882070127418
W12_both,106,371,372,-0.09164420485175202,0.046480523269406326,0.17888853637875513,-0.15094339622641298,4.051217459397622e-07,7,0.04582210242587682,0.007501243700357423
W12_both,107,378,381,-0.05026455026455026,0.35398039537510395,0.5108858659220915,-0.10846560846560241,0.0011622942532693906,4,0.060846560846563744,0.004016985034807022
W12_both,108,377,381,-0.04774535809018567,0.3577586922255145,0.991914850501475,-0.11671087533156918,0.0007859902062480968,5,0.0477453580901855,0.010427246537331531
W12_both,109,397,398,-0.060453400503778336,0.17592671931408566,0.35201275882222,-0.047858942065483856,0.12429649280501817,6,0.042821158690175234,0.010806464605840666
