project_id,poi_id,mw,t_entry,t_cod,t_exit,status,H_base,U_final,poi_mu,poi_c_per_kw
1,182,2.0,0,24,24.0,completed,70205163.84825628,1107060.8156121997,66218944.310262665,553.5304078060999
2,391,9.0,0,24,24.0,completed,42338668.966063865,2149095.6708837706,46313460.4744898,238.78840787597454
3,180,700.0,0,75,0.0,withdrawn,-7624092.947940762,315446697.3853458,-8802464.318174278,450.63813912192256
4,60,20.0,0,24,24.0,completed,37451587.952361844,3745519.2256381796,33761029.06121043,187.275961281909
5,21,180.0,0,24,0.0,withdrawn,50738923.821978115,58077098.95956447,48098773.85481677,322.6505497753582
6,378,100.0,0,24,24.0,completed,56420841.90760266,28822923.887752384,48755062.40066102,288.2292388775238
7,112,7.0,0,62,4.0,withdrawn,26872694.138873104,825067.8301149678,29926451.408115745,117.86683287356684
8,187,299.97,0,29,0.0,withdrawn,66418243.84885652,45474022.96804849,71934840.85425088,151.59523608377
9,42,400.0,0,24,0.0,withdrawn,20718925.104595333,196997211.9645447,24696265.53857581,492.4930299113618
10,161,20.0,0,42,42.0,completed,47065464.90857805,3667587.6899519507,44423694.642384306,183.37938449759753
11,374,10.0,0,24,0.0,withdrawn,-18362992.538997557,1243604.8983332464,-20354684.276075073,124.36048983332464
12,187,54.0,0,59,59.0,completed,72343867.49284054,8186142.74852358,71934840.85425088,151.59523608377
13,387,3.9,0,24,0.0,withdrawn,-4741070.773525415,742076.1775472844,-249242.57709689534,190.27594296084214
14,112,150.0,0,63,0.0,withdrawn,32993920.58143199,17680024.931035027,29926451.408115745,117.86683287356684
15,216,9.8,1,25,25.0,completed,26044392.254788887,4582431.06437501,29569346.04453309,467.59500656887855
16,146,200.0,1,25,1.0,withdrawn,29547725.503267262,28792586.515692864,28677963.842054218,143.96293257846432
17,238,2.0,1,59,1.0,withdrawn,89565.26395477215,525770.8108586987,232864.25061859406,262.88540542934936
18,368,130.0,1,66,18.0,withdrawn,43136526.468646444,15818771.921580065,43537717.138420075,121.68286093523126
19,67,65.0,1,85,85.0,completed,70776331.3588886,5803788.238348203,71233620.03090759,89.28904982074158
20,368,49.9,1,25,25.0,completed,43966137.25845796,6071974.760668039,43537717.138420075,121.68286093523126
21,365,200.0,1,43,1.0,withdrawn,-1285622.5461012446,15731295.019280685,-4677457.519956044,78.65647509640343
22,250,10.0,2,37,37.0,completed,67600490.5262002,1167567.0725760001,71679531.26772606,116.7567072576
23,60,500.0,2,27,2.0,withdrawn,37409638.64511754,93637980.6409545,33761029.06121043,187.275961281909
24,374,30.0,2,32,2.0,withdrawn,-23242662.43502192,3730814.694999739,-20354684.276075073,124.36048983332464
25,187,6.0,2,34,34.0,completed,72831998.45191857,909571.41650262,71934840.85425088,151.59523608377
26,322,1.1,2,35,35.0,completed,59871186.19795841,429386.426865577,64962995.91291734,390.3512971505245
27,252,170.0,2,57,57.0,completed,89911904.26640211,21972446.507003546,92489727.32593298,129.24968533531498
28,276,1.5,2,32,32.0,completed,43544471.744209245,141724.1567404422,46249458.533663705,94.48277116029479
29,254,10.0,3,27,27.0,completed,73724128.00177407,2388823.932568259,79632959.8556182,238.8823932568259
30,156,50.0,3,27,4.0,withdrawn,23219288.924674325,13330959.426771687,25554836.6810432,266.61918853543375
31,67,125.0,3,27,27.0,completed,71200500.49518923,11161131.227592697,71233620.03090759,89.28904982074158
32,197,75.0,3,47,3.0,withdrawn,24467388.823792774,12398082.2977513,26900380.612589244,165.30776397001733
33,39,20.0,3,27,27.0,completed,24226435.108424995,4728714.190832516,21725587.38610713,236.4357095416258
34,350,30.0,3,71,6.0,withdrawn,-514723.3918855208,5393859.54705918,602160.2849612139,179.79531823530598
35,372,25.0,3,30,30.0,completed,31875538.49050628,5673854.924622588,35735589.38962432,226.95419698490352
36,324,400.0,3,27,3.0,withdrawn,-19479726.858873036,38493336.86729531,-18367341.6869214,96.23334216823827
37,216,3.72,3,69,69.0,completed,30472785.389799297,1739453.4244362283,29569346.04453309,467.59500656887855
38,213,5.5,3,27,27.0,completed,61186795.94893129,520362.6303931302,59887257.073632956,94.6113873442055
39,394,7.47,3,74,74.0,completed,81957721.65126967,826230.9353545833,74444205.12329715,110.6065509176149
40,107,120.0,3,67,3.0,withdrawn,52438620.179607235,49659497.14115644,55114257.53962091,413.8291428429703
41,33,8.166,3,27,27.0,completed,48969511.25710053,1265945.7511723526,49263425.903462134,155.0264206676895
42,215,1.3,3,53,53.0,completed,37405050.46292462,373214.55490990775,35700554.675646916,287.0881191614675
43,323,20.0,4,95,95.0,completed,30364347.684958734,2010773.3249575058,30740289.41609722,100.53866624787528
44,190,2.0,4,76,4.0,withdrawn,-822436.3690914544,454468.76816697,-11780452.901524678,227.234384083485
45,180,20.0,4,28,4.0,withdrawn,-5336999.378234119,9012762.782438451,-8802464.318174278,450.63813912192256
46,342,4.5,4,100,4.0,withdrawn,-12762008.464321118,381760.0640007771,-9518452.689086763,84.83556977795047
47,151,15.0,4,45,45.0,completed,49018867.61265499,5041284.87873326,46654441.554932766,336.0856585822173
48,155,120.0,4,28,4.0,withdrawn,25682879.349246513,21100938.193318218,28650933.048805475,175.84115161098515
49,123,10.34,4,65,4.0,withdrawn,-10137669.182655556,952318.2628067095,-4722439.104468127,92.10041226370498
50,193,40.0,4,41,6.0,withdrawn,29044026.48080717,18578718.795449667,30437503.93374346,464.46796988624163
51,206,80.0,4,37,4.0,withdrawn,24894887.158829488,8555174.06084771,24528781.401874043,106.93967576059637
52,255,400.0,4,28,4.0,withdrawn,36444363.55803209,66373546.17897804,43932985.56776567,165.9338654474451
53,163,48.0,4,28,28.0,completed,63619139.50908136,4671747.772906074,68215776.6712359,97.32807860220989
54,93,20.0,4,73,6.0,withdrawn,18505919.94505902,6850650.990974982,18464577.6923296,342.5325495487491
55,346,1300.0,4,49,4.0,withdrawn,-5809148.959841772,210648708.39517233,-4176456.2558859554,162.0374679962864
56,138,12.0,4,47,47.0,completed,47554020.81930674,2562938.5113409525,45974775.734722376,213.57820927841271
57,370,350.0,5,29,5.0,withdrawn,-7322623.001792241,119365076.89582607,-1339981.9982907712,341.04307684521734
58,148,20.0,5,100,5.0,withdrawn,3168816.954413439,2885325.8492396665,2702943.2942077513,144.26629246198334
59,348,2.356,5,29,19.0,withdrawn,16724064.067186493,222239.302179443,20456966.269943833,94.32907562794695
60,72,3.1,5,51,15.0,withdrawn,18236372.00062834,1423709.9523914997,20006263.772028383,459.26127496499987
61,146,15.0,5,29,29.0,completed,32858222.505138714,2159443.988676965,28677963.842054218,143.96293257846432
62,21,557.0,5,31,5.0,withdrawn,49986812.12832907,179716356.2248745,48098773.85481677,322.6505497753582
63,290,10.17,5,29,8.0,withdrawn,28433269.557958167,5718860.456205664,26159631.45965889,562.3264952021302
64,67,18.0,5,29,29.0,completed,64148800.677340135,1607202.8967733486,71233620.03090759,89.28904982074158
65,112,126.0,5,29,5.0,withdrawn,37274032.087431796,14851220.942069422,29926451.408115745,117.86683287356684
66,305,45.0,5,61,61.0,completed,33541137.416299313,6217572.128074279,38308662.66006681,138.16826951276175
67,267,20.0,6,30,30.0,completed,62741244.110987835,3184579.8774165185,63126098.04270063,159.22899387082595
68,182,10.0,6,70,70.0,completed,70784008.18830414,5535304.078060999,66218944.310262665,553.5304078060999
69,93,10.0,6,30,16.0,withdrawn,14941706.009483835,3425325.495487491,18464577.6923296,342.5325495487491
70,187,24.0,6,43,43.0,completed,73335690.84568499,3638285.66601048,71934840.85425088,151.59523608377
71,359,10.0,6,43,15.0,withdrawn,9713891.797925428,3250573.2453520703,6329197.945813977,325.05732453520704
72,312,30.0,6,30,30.0,completed,15338231.39973633,2598922.0039725937,17128085.952562258,86.63073346575312
73,187,127.5,6,30,30.0,completed,70230498.57332662,19328392.600680675,71934840.85425088,151.59523608377
74,121,3.0,6,76,76.0,completed,59287708.14751883,523793.94943645096,59186656.823125266,174.59798314548365
75,79,30.0,6,75,75.0,completed,57066671.766735666,6692268.915696122,54895966.38049435,223.07563052320404
76,112,250.0,7,47,7.0,withdrawn,27449182.109622955,29466708.21839171,29926451.408115745,117.86683287356684
77,280,45.0,7,78,78.0,completed,56801482.6351846,12620635.811620805,54440238.2569634,280.45857359157344
78,93,20.0,7,31,8.0,withdrawn,15819950.777875034,6850650.990974982,18464577.6923296,342.5325495487491
79,328,2.0,7,90,90.0,completed,52153478.2341956,774379.5466661688,59536993.732702896,387.1897733330844
80,93,50.0,7,86,7.0,withdrawn,18957815.310099434,17126627.477437455,18464577.6923296,342.5325495487491
81,268,11.2,7,54,54.0,completed,32781109.80801674,6287471.41811176,34664605.326879784,561.3813766171214
82,308,7.0,7,31,31.0,completed,55629775.04051011,1374420.64514091,57390131.08285864,196.3458064487014
83,81,16.0,7,77,77.0,completed,49162529.97790112,6545778.189437765,41261157.50651902,409.1111368398603
84,103,35.0,7,37,37.0,completed,59719120.42163672,5850963.304838284,65822548.35256741,167.17038013823668
85,307,250.0,7,44,7.0,withdrawn,50234694.03254078,93292738.77303138,48703209.4910549,373.1709550921255
86,39,47.6,7,31,9.0,withdrawn,17746358.437528126,11254339.77418139,21725587.38610713,236.4357095416258
87,230,49.9,8,70,13.0,withdrawn,42222441.90156414,21691993.01881537,40923715.28864875,434.7092789341757
88,79,633.0,8,59,8.0,withdrawn,59364389.62631848,141206874.12118816,54895966.38049435,223.07563052320404
89,276,620.0,8,44,8.0,withdrawn,50843439.72798511,58579318.11938277,46249458.533663705,94.48277116029479
90,118,8.0,8,67,67.0,completed,30954264.69559456,1568655.3187341818,34443805.12876973,196.08191484177271
91,125,500.0,8,32,8.0,withdrawn,54505027.014689155,96315134.58956808,53550722.57448727,192.63026917913615
92,95,24.7,8,61,10.0,withdrawn,7474893.93889356,2691115.738477185,10866220.129780913,108.95205418935971
93,348,34.5,9,89,17.0,withdrawn,20498113.179293733,3254353.10916417,20456966.269943833,94.32907562794695
94,121,8.8,9,48,48.0,completed,62644997.60523589,1536462.2516802563,59186656.823125266,174.59798314548365
95,175,120.0,9,33,33.0,completed,71440903.31084163,12297550.861660162,71840284.80632739,102.47959051383468
96,274,20.0,9,68,68.0,completed,32466256.312994994,10821608.166340055,25233059.935020108,541.0804083170027
97,347,100.0,9,74,9.0,withdrawn,16265282.703934595,55190612.60672519,16891437.014794976,551.906126067252
98,254,20.0,9,33,33.0,completed,78682225.30199708,4777647.865136518,79632959.8556182,238.8823932568259
99,294,20.0,9,36,36.0,completed,52115297.088305354,10728859.592862062,52799425.574776284,536.4429796431031
100,250,560.0,10,48,10.0,withdrawn,64032270.628720045,65383756.064256,71679531.26772606,116.7567072576
101,216,32.06,10,92,10.0,withdrawn,29383931.234210026,14991095.910598248,29569346.04453309,467.59500656887855
102,264,63.0,10,50,10.0,withdrawn,5385690.44354207,5956502.3965708185,-678410.054656029,94.5476570884257
103,217,18.3,10,108,108.0,completed,34252423.6003063,1976185.5670093813,29764779.3240098,107.9882823502394
104,167,65.5,10,34,34.0,completed,53387290.47054466,9005361.291173652,55728026.77665132,137.4864319263153
105,139,10.0,10,71,67.0,withdrawn,16244623.564213652,1046243.9949064585,21832115.201344796,104.62439949064586
106,96,63.0,10,34,10.0,withdrawn,38176361.896406814,31425178.88373152,36337040.67054751,498.81236323383365
107,187,31.95,10,65,65.0,completed,62665127.853420876,4843467.792876451,71934840.85425088,151.59523608377
108,8,50.0,10,58,58.0,completed,34791699.53387949,4836743.648902993,30351083.070348777,96.73487297805984
109,130,300.0,10,85,10.0,withdrawn,44444939.721635886,35979562.00447781,45299289.55316885,119.93187334825934
110,67,20.0,11,35,35.0,completed,70971433.86377573,1785780.9964148316,71233620.03090759,89.28904982074158
111,36,1377.0,11,35,11.0,withdrawn,69232062.04734568,221341696.38519734,66924520.80495109,160.74197268351296
112,382,20.0,11,47,11.0,withdrawn,-24340225.87122268,9050609.976369413,-23608582.710471846,452.5304988184707
113,162,4.38,11,48,14.0,withdrawn,3676831.704149983,406221.3490392295,6825302.2449784065,92.74460023726701
114,139,1.05,11,64,64.0,completed,22288585.48589925,109855.61946517816,21832115.201344796,104.62439949064586
115,141,150.0,11,35,11.0,withdrawn,87695412.50417866,57971294.25636936,92746110.55225195,386.4752950424624
116,150,60.0,11,78,78.0,completed,84981624.2758404,15466087.637932105,82823870.19329381,257.7681272988684
117,378,7.5,11,68,68.0,completed,45006465.57460849,2161719.2915814286,48755062.40066102,288.2292388775238
118,24,80.0,11,39,39.0,completed,52661439.37153795,7053805.272251422,48988509.26540416,88.17256590314277
119,57,500.0,11,35,11.0,withdrawn,36081512.33897689,53945607.44813297,37435335.32394455,107.89121489626594
120,312,94.0,11,59,59.0,completed,21378220.017801926,8143288.945780793,17128085.952562258,86.63073346575312
121,207,225.0,11,35,11.0,withdrawn,86252803.28088546,80019082.86970823,90743296.03523871,355.6403683098143
122,60,8.4,11,98,98.0,completed,31049950.25829515,1573118.0747680354,33761029.06121043,187.275961281909
123,141,220.0,12,36,12.0,withdrawn,96163082.49352592,85024564.90934174,92746110.55225195,386.4752950424624
124,238,4.0,12,54,12.0,withdrawn,2722045.4748520977,1051541.6217173974,232864.25061859406,262.88540542934936
125,378,15.0,12,58,58.0,completed,43561420.48481326,4323438.583162857,48755062.40066102,288.2292388775238
126,256,10.0,12,73,73.0,completed,54395356.74686213,1117030.841535856,59074014.3312362,111.7030841535856
127,381,30.0,12,49,12.0,withdrawn,-8277526.118994328,3305748.6582428142,-5522837.957703789,110.19162194142714
128,81,38.4,12,36,36.0,completed,42006020.95595156,15709867.654650636,41261157.50651902,409.1111368398603
129,237,29.15,12,80,80.0,completed,35887059.18124622,5706520.64382131,44014791.94142103,195.76400150330394
130,328,50.0,12,71,71.0,completed,59484099.42930866,19359488.66665422,59536993.732702896,387.1897733330844
131,187,350.0,12,37,12.0,withdrawn,73180558.34945114,53058332.6293195,71934840.85425088,151.59523608377
