project_id,poi_id,mw,t_entry,t_cod,t_exit,status,H_base,U_final,poi_mu,poi_c_per_kw
1,182,2.0,0,24,24.0,completed,70205163.84825628,1107060.8156121997,66218944.310262665,553.5304078060999
2,391,9.0,0,24,24.0,completed,42338668.966063865,2149095.6708837706,46313460.4744898,238.78840787597454
3,180,700.0,0,75,0.0,withdrawn,-7624092.947940762,315446697.3853458,-8802464.318174278,450.63813912192256
4,60,20.0,0,24,24.0,completed,37451587.952361844,3745519.2256381796,33761029.06121043,187.275961281909
5,21,180.0,0,24,0.0,withdrawn,50738923.821978115,58077098.95956447,48098773.85481677,322.6505497753582
6,378,100.0,0,24,2.0,withdrawn,56420841.90760266,28822923.887752384,48755062.40066102,288.2292388775238
7,112,7.0,0,62,62.0,completed,26872694.138873104,3771738.6519541387,29926451.408115745,117.86683287356684
8,187,299.97,0,29,0.0,withdrawn,66418243.84885652,45474022.96804849,71934840.85425088,151.59523608377
9,42,400.0,0,24,0.0,withdrawn,20718925.104595333,196997211.9645447,24696265.53857581,492.4930299113618
10,161,20.0,0,42,42.0,completed,47065464.90857805,3667587.6899519507,44423694.642384306,183.37938449759753
11,374,10.0,0,24,0.0,withdrawn,-18362992.538997557,1243604.8983332464,-20354684.276075073,124.36048983332464
12,187,54.0,0,59,31.0,withdrawn,72343867.49284054,77378520.51252976,71934840.85425088,151.59523608377
13,387,3.9,0,24,0.0,withdrawn,-4741070.773525415,742076.1775472844,-249242.57709689534,190.27594296084214
14,112,150.0,0,63,0.0,withdrawn,32993920.58143199,17680024.931035027,29926451.408115745,117.86683287356684
15,246,4.0,1,25,25.0,completed,18091200.748782072,1383392.3845814276,26861374.712011706,345.84809614535686
16,267,100.0,1,62,62.0,completed,60933806.30972134,15922899.387082594,63126098.04270063,159.22899387082595
17,6,30.0,1,47,47.0,completed,62096476.89727568,4826028.499682218,57168976.36011846,160.86761665607392
18,382,1.6,1,25,1.0,withdrawn,-21396275.562370867,724048.798109553,-23608582.710471846,452.5304988184707
19,225,50.0,1,25,25.0,completed,54633127.057824686,26792414.496926203,53637472.66312457,535.8482899385241
20,308,1.5,1,69,69.0,completed,61424804.50667799,294518.70967305213,57390131.08285864,196.3458064487014
21,150,50.0,1,27,23.0,withdrawn,84761683.95028749,90218844.55460393,82823870.19329381,257.7681272988684
22,4,2.06,1,65,65.0,completed,96911722.68170609,177713.24057204433,92040821.93190154,86.26856338448754
23,189,5.0,1,30,30.0,completed,50233006.931853555,817997.9216113795,46555312.225265615,163.59958432227592
24,187,575.0,1,25,1.0,withdrawn,78021642.66519871,87167260.74816775,71934840.85425088,151.59523608377
25,166,5.0,1,59,1.0,withdrawn,-1433685.0592134662,2394441.3918173,-2868869.3948384835,478.88827836346
26,253,15.975,2,84,84.0,completed,40288011.66370049,1934342.7936840216,37268564.09380432,121.08562088788868
27,90,115.0,2,47,47.0,completed,40262735.504382566,15071752.532555481,41441010.523029014,131.0587176743955
28,393,7.125,2,26,26.0,completed,30900638.990120027,2065893.4170844655,40965019.77321109,289.9499532750127
29,45,18.0,2,40,2.0,withdrawn,-12497259.050583472,2790829.7979291044,-3984580.882640224,155.04609988495022
30,329,600.0,2,37,2.0,withdrawn,1806827.1423992573,51620297.83859994,5879297.588474,86.03382973099991
31,226,300.0,2,49,2.0,withdrawn,30351689.660425123,48729099.568057574,28226796.7460548,162.43033189352525
32,106,20.0,2,26,2.0,withdrawn,5955178.79967971,6179827.810595684,5499980.538318524,308.99139052978416
33,292,7.25,2,50,50.0,completed,43807403.431033865,626908.4716038972,43069936.602331206,86.47013401433064
34,38,3.0,2,37,37.0,completed,84893429.16919732,751259.6985799496,77089655.23845056,250.41989952664986
35,305,16.0,2,66,66.0,completed,33232304.200627565,2210692.312204188,38308662.66006681,138.16826951276175
36,226,90.0,2,68,10.0,withdrawn,28117063.329319905,14618729.87041727,28226796.7460548,162.43033189352525
37,157,897.6,3,73,3.0,withdrawn,57746416.48072812,64034991.54053047,57907786.02686417,71.34023121716852
38,209,17.6,3,27,27.0,completed,57742698.10298578,2082564.0018931513,66523433.08907461,118.3275001075654
39,164,380.0,3,28,3.0,withdrawn,58051085.780122906,99913067.81550185,66140874.004296824,262.92912583026805
40,327,20.0,3,45,45.0,completed,43252427.4015071,4334427.594384962,42734789.253923625,216.72137971924806
41,368,19.9,3,67,26.0,withdrawn,42105466.46013538,75431205.49374987,43537717.138420075,121.68286093523126
42,374,200.0,3,27,3.0,withdrawn,-24778025.004683543,24872097.966664925,-20354684.276075073,124.36048983332464
43,217,50.0,3,50,50.0,completed,30026909.64733,5399414.11751197,29764779.3240098,107.9882823502394
44,170,100.0,3,27,3.0,withdrawn,34853090.87576085,27843228.191617195,34392565.405729614,278.432281916172
45,274,7.0,3,71,38.0,withdrawn,29010723.4091812,68717211.85625935,25233059.935020108,541.0804083170027
46,233,3.5,4,53,4.0,withdrawn,-37220987.396499425,1725711.6565533688,-38890470.608626746,493.06047330096254
47,79,100.0,4,77,77.0,completed,61552899.3864849,22307563.052320406,54895966.38049435,223.07563052320404
48,353,20.76,4,28,28.0,completed,55548503.63851267,11111946.132818928,54288331.494047984,535.2575208486959
49,90,20.0,4,28,28.0,completed,43692442.20375858,2621174.35348791,41441010.523029014,131.0587176743955
50,42,5.2,4,55,31.0,withdrawn,24766413.14526804,16252269.98707494,24696265.53857581,492.4930299113618
51,348,140.0,4,59,4.0,withdrawn,16351372.45348306,13206070.587912573,20456966.269943833,94.32907562794695
52,123,14.9,4,40,4.0,withdrawn,-6682992.497425644,1372296.1427292044,-4722439.104468127,92.10041226370498
53,290,26.6,5,61,6.0,withdrawn,30339890.122743387,14957884.772376664,26159631.45965889,562.3264952021302
54,67,206.6,5,69,34.0,withdrawn,73121658.30441988,51538816.098480105,71233620.03090759,89.28904982074158
55,112,35.0,5,29,29.0,completed,32200089.50641502,18858693.259770695,29926451.408115745,117.86683287356684
56,305,120.0,5,29,29.0,completed,31223843.306499362,16580192.341531409,38308662.66006681,138.16826951276175
57,201,100.0,5,29,11.0,withdrawn,59714345.97002627,28281255.99210237,52366765.29071022,282.8125599210237
58,4,55.0,5,103,103.0,completed,87273296.68813404,21581055.13053874,92040821.93190154,86.26856338448754
59,0,100.0,5,86,6.0,withdrawn,24850152.747035656,7285710.107646567,18735909.489860196,72.85710107646567
60,189,50.0,5,73,71.0,withdrawn,50641487.68919156,57587053.68144113,46555312.225265615,163.59958432227592
61,123,20.0,5,34,5.0,withdrawn,-2413108.1373294066,1842008.2452740995,-4722439.104468127,92.10041226370498
62,93,400.0,6,30,6.0,withdrawn,18565629.016723163,137013019.81949964,18464577.6923296,342.5325495487491
63,187,30.0,6,69,48.0,withdrawn,74105546.2404922,71776855.56961794,71934840.85425088,151.59523608377
64,359,25.8,6,72,6.0,withdrawn,6271861.927766333,8386478.973008341,6329197.945813977,325.05732453520704
65,312,1.89,6,107,107.0,completed,21024071.303600203,4737739.42150826,17128085.952562258,86.63073346575312
66,187,201.1,6,69,15.0,withdrawn,70087100.09718277,124046525.07476634,71934840.85425088,151.59523608377
67,121,6.4,6,30,30.0,completed,53873076.00127283,1117427.0921310955,59186656.823125266,174.59798314548365
68,79,50.0,6,78,78.0,completed,62803867.85294707,11153781.526160203,54895966.38049435,223.07563052320404
69,350,4.0,6,89,6.0,withdrawn,-1816374.6612085714,719181.2729412239,602160.2849612139,179.79531823530598
70,276,200.0,6,62,62.0,completed,43975690.19879272,18896554.23205896,46249458.533663705,94.48277116029479
71,221,1030.0,6,102,6.0,withdrawn,11950696.137279004,258638093.8009513,12213909.421567742,251.10494543781678
72,351,125.0,6,45,6.0,withdrawn,19559446.73562896,20021658.532410532,19290722.297013033,160.17326825928427
73,57,32.0,6,30,30.0,completed,35888600.75399142,3452518.87668051,37435335.32394455,107.89121489626594
74,157,19.9,7,43,43.0,completed,64990976.91377442,1419670.6012216534,57907786.02686417,71.34023121716852
75,125,4.1,7,66,66.0,completed,55471953.84338402,789784.1036344582,53550722.57448727,192.63026917913615
76,129,5.0,7,113,113.0,completed,38162702.97184644,545780.6104117417,41752385.85493217,109.15612208234835
77,266,20.0,7,78,78.0,completed,39092888.07602546,1804410.4025638218,37737133.98617719,90.22052012819108
78,14,105.9,7,110,7.0,withdrawn,14825913.819897868,11666158.56008825,5116025.6425474305,110.16202606315628
79,264,26.7,7,76,8.0,withdrawn,-268718.8117803822,2524422.444260966,-678410.054656029,94.5476570884257
80,87,650.0,7,62,7.0,withdrawn,29871015.684950955,269322499.7736272,24023652.247376557,414.3423073440419
81,150,300.0,7,42,7.0,withdrawn,79862552.72993897,77330438.18966052,82823870.19329381,257.7681272988684
82,67,100.0,7,60,41.0,withdrawn,71065275.82436204,78966059.11951579,71233620.03090759,89.28904982074158
83,209,151.8,7,32,32.0,completed,69001693.91357678,17962114.516328428,66523433.08907461,118.3275001075654
84,9,19.9,8,78,12.0,withdrawn,17843658.80021745,10346297.78083673,17161150.465741124,519.9144613485794
85,307,20.0,8,39,39.0,completed,53944927.49438097,7463419.10184251,48703209.4910549,373.1709550921255
86,56,80.0,8,64,64.0,completed,57586617.37173054,10102800.677885927,59983408.31186223,126.28500847357408
87,335,180.0,8,40,8.0,withdrawn,71795945.92928676,60423736.54235293,72909216.16813341,335.68742523529403
88,197,2.0,8,61,61.0,completed,20750608.81608268,330615.5279400347,26900380.612589244,165.30776397001733
89,23,7.5,8,42,10.0,withdrawn,15848346.24359778,1733135.9260621206,20583817.694157675,231.08479014161608
90,331,100.0,8,73,8.0,withdrawn,8943106.160661418,32713185.406868517,11014306.171453299,327.1318540686852
91,9,67.0,8,32,8.0,withdrawn,16937402.489499435,34834268.910354815,17161150.465741124,519.9144613485794
92,62,51.6,8,32,10.0,withdrawn,21174905.4319358,4022814.23169855,14098572.128855322,77.96151611818895
93,313,100.0,8,33,33.0,completed,69944602.77519876,9756997.22584126,67800631.55549785,97.5699722584126
94,173,60.0,9,43,9.0,withdrawn,38955034.038856074,30461555.902173765,39431534.173721395,507.69259836956275
95,88,100.0,9,33,9.0,withdrawn,28110106.703663886,23802648.254262842,25135678.703265153,238.02648254262843
96,350,675.0,9,33,9.0,withdrawn,7183490.957753062,121361839.80883154,602160.2849612139,179.79531823530598
97,267,150.0,9,33,33.0,completed,67025969.42043717,23884349.08062389,63126098.04270063,159.22899387082595
98,136,406.4,9,67,9.0,withdrawn,6430503.395203421,75574629.65409523,15052930.909537623,185.9611950149981
99,197,86.6,9,64,23.0,withdrawn,29153975.963240232,14315652.3598035,26900380.612589244,165.30776397001733
100,259,50.0,9,33,33.0,completed,56780369.456341386,5023797.828388319,46492648.87537469,100.47595656776639
101,308,150.0,9,33,33.0,completed,59879895.2698965,29451870.96730521,57390131.08285864,196.3458064487014
102,36,67.0,9,33,33.0,completed,62306113.15186409,10769712.169795368,66924520.80495109,160.74197268351296
103,8,1.91,9,33,33.0,completed,31478401.568023235,184763.6073880943,30351083.070348777,96.73487297805984
104,368,8.0,10,34,34.0,completed,43347006.41196459,973462.8874818501,43537717.138420075,121.68286093523126
105,123,100.0,10,49,10.0,withdrawn,2351262.2095872555,9210041.226370499,-4722439.104468127,92.10041226370498
106,389,525.0,10,81,10.0,withdrawn,11167002.50384883,42161015.49680097,16760570.146608839,80.30669618438279
107,105,22.2,10,34,34.0,completed,28384654.226300027,2619150.5703980355,26311914.69516202,117.97975542333494
108,280,65.0,10,34,34.0,completed,62724568.653829865,18229807.283452276,54440238.2569634,280.45857359157344
109,222,19.9,10,34,34.0,completed,55729679.53825994,2396162.9273700058,55610676.55962449,120.41019735527668
110,81,60.17,11,47,11.0,withdrawn,42945873.84117592,24616217.103654396,41261157.50651902,409.1111368398603
111,397,150.0,11,54,54.0,completed,61157488.79861876,25556019.309095617,63317245.51298972,170.37346206063745
112,72,5.0,11,41,32.0,withdrawn,22470063.52062068,32148289.247549992,20006263.772028383,459.26127496499987
113,228,20.0,11,96,79.0,withdrawn,20745132.922189996,5587364.660552645,13295164.233980505,74.49819547403527
114,373,23.5,11,35,35.0,completed,62606325.653888255,3705695.536774159,60719522.99363773,157.68917177762378
115,331,150.0,11,35,11.0,withdrawn,13279731.687735982,49069778.11030278,11014306.171453299,327.1318540686852
116,250,100.0,11,41,41.0,completed,74368151.1805289,11675670.72576,71679531.26772606,116.7567072576
117,276,2.0,11,55,55.0,completed,40405552.104243144,188965.54232058956,46249458.533663705,94.48277116029479
118,61,45.0,11,48,48.0,completed,33953426.71035179,5467290.500832757,32112528.01752663,121.49534446295016
119,3,6.0,11,35,14.0,withdrawn,8945220.984172326,991445.7014656903,13012259.283526435,165.24095024428172
120,266,10.0,12,45,45.0,completed,35423763.48673101,902205.2012819109,37737133.98617719,90.22052012819108
121,190,2.0,12,36,12.0,withdrawn,-9863956.029672334,454468.76816697,-11780452.901524678,227.234384083485
122,227,75.0,12,58,12.0,withdrawn,17444604.355472915,22013572.162022866,11775270.82173551,293.5142954936382
123,109,3.0,12,36,36.0,completed,44946610.024622254,430046.14471201913,45098850.51839029,143.34871490400639
124,375,15.0,12,36,36.0,completed,45859423.84082298,3138230.339282055,43643164.4950395,209.215355952137
125,159,62.5,12,36,36.0,completed,50772083.89569178,7938426.975089845,56550001.26030335,127.01483160143754
126,53,300.0,13,46,13.0,withdrawn,34556408.62237868,26141919.273618046,34036543.45391469,87.13973091206014
127,312,300.0,13,37,13.0,withdrawn,17270604.806524523,25989220.039725937,17128085.952562258,86.63073346575312
128,377,42.0,13,37,37.0,completed,32211032.586645,9588931.520753765,31174353.094844673,228.30789335128011
129,42,27.8,13,37,13.0,withdrawn,30045638.44128044,13691306.231535858,24696265.53857581,492.4930299113618
130,67,550.0,13,37,13.0,withdrawn,66515590.382567145,49108977.401407875,71233620.03090759,89.28904982074158
