rho,seed,n_pairs,did,pre_trend_p,k-4,k-3,k-2,k-1,k0,k1,k2,k3,k4,k5,k6,k7,k8,peak_beta,peak_k
0.7,100,386,-0.0259067357512953,0.3817553694858606,0.0129533678756464,-0.0051813471502589,-9.367506770274757e-17,0.0,-5.3180116560413986e-17,-0.0984455958549152,0.0155440414507744,-0.0155440414507773,0.0803108808290163,0.046632124352331,0.0388601036269433,0.0388601036269427,0.0310880829015537,0.0803108808290163,4
0.7,101,393,-0.188295165394402,0.0782541852742596,0.0254452926208676,0.0152671755725206,1.6371452804531117e-15,0.0,-3.651592916931179e-16,-0.1806615776081475,-0.0203562340966887,0.0152671755725192,0.0381679389313003,0.0178117048346061,0.0559796437659049,0.040712468193385,0.0407124681933859,0.0559796437659049,6
0.7,102,394,-0.0025380710659898,0.8017948578949434,-0.0050761421319783,-0.0076142131979675,1.893450674028685e-15,0.0,2.409097227262791e-16,-0.0989847715735947,-0.0076142131979705,0.0659898477157379,0.0253807106598992,0.0253807106598992,0.055837563451778,0.0152284263959402,0.0355329949238587,0.055837563451778,6
0.7,103,405,-0.1382716049382716,0.0760968554640389,0.0320987654321028,-0.0024691358024707,-1.3201245652183502e-15,0.0,-2.203098814490545e-16,-0.1283950617284005,-0.0172839506172823,0.0024691358024683,0.0345679012345658,0.05185185185185,0.0395061728395046,0.0370370370370358,0.0246913580246902,0.05185185185185,5
0.7,104,396,-0.101010101010101,0.4552416510627672,0.0126262626262651,0.0101010101010102,7.936359902593892e-16,0.0,2.0339632755828063e-15,-0.1237373737373705,-0.015151515151517,0.0277777777777789,0.0328282828282836,0.0328282828282829,0.01010101010101,0.0303030303030307,0.0303030303030313,0.0328282828282836,4
0.75,100,384,-0.0286458333333333,0.3755714580357101,0.0182291666666674,-0.0052083333333336,-8.868773770931425e-17,0.0,4.505944228849756e-16,-0.0677083333333287,-0.031249999999998,0.0260416666666657,0.0572916666666667,0.0260416666666666,0.0468750000000001,0.0520833333333331,0.0234375000000001,0.0572916666666667,4
0.75,101,392,-0.0382653061224489,0.3241805949231904,0.0153061224489773,0.0127551020408153,-2.3440450969136606e-16,0.0,1.1535911115245767e-16,-0.0816326530612254,-0.0331632653061206,0.0382653061224482,0.066326530612244,0.0306122448979583,0.0459183673469381,0.0357142857142848,0.028061224489795,0.066326530612244,4
0.75,102,401,-0.0798004987531172,0.7194449496905163,0.0149625935162115,0.0049875311720708,-5.451368523257116e-16,0.0,4.90059381963448e-16,-0.1346633416458821,0.0199501246882779,0.0324189526184546,0.0224438902743145,0.0274314214463843,0.0399002493765591,0.0224438902743147,0.0324189526184545,0.0399002493765591,6
0.75,103,402,-0.0845771144278607,0.8706269445942532,0.002487562189057,0.0074626865671666,8.020927672047762e-16,0.0,2.3678975447083417e-16,-0.1393034825870539,-0.017412935323385,0.0348258706467681,0.0472636815920394,0.0348258706467664,0.039800995024877,0.0323383084577136,0.0223880597014936,0.0472636815920394,4
0.75,104,394,-0.1269035532994923,0.3102689423358976,0.005076142131981,0.0203045685279198,1.7909935687288048e-15,0.0,1.8561541192951836e-16,-0.137055837563441,-0.0482233502538095,0.0152284263959397,0.0685279187817264,0.0380710659898485,0.0456852791878184,0.0406091370558386,0.0329949238578686,0.0685279187817264,4
0.8,100,389,-0.1079691516709511,0.2258193343012615,0.0154241645244201,0.017994858611822,-2.626371342628886e-15,0.0,-2.379173247302191e-15,-0.1208226221079618,-0.0077120822622133,0.0385604113110511,0.0154241645244179,0.0257069408740323,0.0282776349614361,0.0128534704370133,0.046272493573261,0.046272493573261,8
0.8,101,396,-0.1893939393939394,0.4035415986611176,0.0101010101010105,0.0126262626262632,6.947567521287112e-16,0.0,2.1736085153989393e-15,-0.146464646464643,-0.0656565656565682,0.0252525252525263,0.0202020202020207,0.0404040404040406,0.0227272727272727,0.0404040404040409,0.0353535353535364,0.0404040404040409,7
0.8,102,367,-0.0027247956403269,0.8274611159042309,0.0108991825613091,1.0184995208328829e-15,1.2047654540658925e-15,0.0,5.698566618583811e-16,-0.1362397820163537,0.0326975476839258,0.0653950953678496,0.0463215258855594,0.0108991825613089,0.0544959128065406,0.0081743869209819,-0.0081743869209795,0.0544959128065406,6
0.8,103,414,-0.0603864734299516,0.8396734792430707,-0.0048309178743955,0.0072463768115945,-1.5183167223487004e-15,0.0,-8.829742492721948e-16,-0.1207729468599068,0.0193236714975849,0.0144927536231895,0.0289855072463775,0.0338164251207731,0.0362318840579705,0.0410628019323668,0.0217391304347832,0.0410628019323668,7
0.8,104,394,-0.0685279187817258,0.8984249161539895,0.0050761421319813,0.0076142131979708,1.8110513089197866e-15,0.0,1.6219664500383146e-16,-0.1319796954314618,0.0177664974619271,0.0279187817258894,0.0304568527918786,-0.0025380710659896,0.0329949238578692,0.0406091370558388,0.0329949238578686,0.0406091370558388,7
0.85,100,403,0.0198511166253101,0.5146353690656371,-0.0024813895781682,-0.0124069478908182,9.131150696672918e-16,0.0,7.32920668600201e-17,-0.0918114143920559,0.0471464019851112,0.0024813895781637,0.0471464019851115,0.0496277915632758,0.0372208436724568,0.0421836228287841,0.0347394540942928,0.0496277915632758,5
0.85,101,392,-0.0688775510204081,0.859715021109541,0.0076530612244873,0.0025510204081623,-6.301383026485752e-16,0.0,-1.2533377113932431e-16,-0.1250000000000006,-0.0204081632653045,0.038265306122448,0.0484693877551008,0.010204081632652,0.0637755102040805,0.0382653061224476,0.012755102040815,0.0637755102040805,6
0.85,102,388,-0.1108247422680412,0.3449406938904902,0.0154639175257724,-0.0103092783505156,-3.200564813177209e-16,0.0,-2.196593601455632e-16,-0.1391752577319501,-0.0360824742268036,0.0206185567010295,0.0489690721649477,0.04381443298969,0.0592783505154634,0.0567010309278338,0.0154639175257721,0.0592783505154634,6
0.85,103,408,-0.071078431372549,0.7537410203433061,0.007352941176464,0.0098039215686224,-4.6574072723459814e-15,0.0,-4.9743195673634936e-15,-0.1053921568627459,-0.0024509803921625,0.0122549019607785,0.0416666666666593,0.058823529411759,0.0588235294117586,0.0367647058823464,0.026960784313719,0.058823529411759,5
0.85,104,389,-0.0719794344473007,0.2691513624803975,0.0231362467866335,-0.0025706940874036,-3.172375556692586e-16,0.0,3.0444397003392965e-16,-0.1079691516709419,0.0437017994858607,0.0025706940874027,0.0102827763496129,0.04370179948586,0.0025706940874025,0.0411311053984561,0.0411311053984571,0.04370179948586,5
0.9,100,410,-0.0951219512195122,0.874518954304581,-0.0048780487804908,-0.0073170731707317,-1.0148132334464322e-16,0.0,-1.003537530852583e-15,-0.1170731707317064,-0.0390243902439022,0.0195121951219515,0.0292682926829258,0.0292682926829253,0.0414634146341456,0.0243902439024382,0.002439024390243,0.0414634146341456,6
0.9,101,373,-0.0134048257372654,0.8853253786387965,0.0053619302949027,0.005361930294904,-1.6282548226387308e-15,0.0,-1.2216790079566664e-15,-0.0697050938337845,0.0107238605898132,0.0134048257372662,0.0428954423592476,0.0241286863270763,0.0428954423592478,0.0563002680965128,0.0214477211796235,0.0563002680965128,7
0.9,102,397,-0.0554156171284634,0.6250255564580647,-0.0050377833753205,0.0151133501259434,-1.289333223519762e-15,0.0,-1.3010426069826053e-18,-0.1511335012594372,0.0100755667506253,0.0579345088161205,0.0377833753148596,0.0428211586901756,0.0453400503778324,0.0251889168765727,0.0251889168765729,0.0453400503778324,6
0.9,103,393,-0.0839694656488549,0.9294530939321892,-0.0025445292620862,-0.0050890585241715,1.1618310480354666e-15,0.0,-9.8879238130678e-16,-0.165394402035628,0.0483460559796455,0.0152671755725179,0.0101781170483471,0.0508905852417309,0.0381679389312984,0.0559796437659032,0.0432569974554714,0.0559796437659032,7
0.9,104,395,-0.1063291139240506,0.9404901225257224,-5.013350845572973e-15,0.0050632911392403,-1.7433970933566911e-16,0.0,1.0000680839006293e-15,-0.0962025316455622,-0.0177215189873397,0.0075949367088589,0.00506329113924,0.0481012658227841,0.0126582278481002,0.0303797468354427,0.0379746835443032,0.0481012658227841,5
0.95,100,399,-0.087719298245614,0.9538403969346564,1.7479507424811302e-15,-0.0050125313283197,1.1718057080223332e-15,0.0,6.717716660720185e-16,-0.1604010025062683,-0.0100250626566422,0.0175438596491246,0.0601503759398517,0.0350877192982475,0.0526315789473702,0.0401002506265683,0.0601503759398519,0.0601503759398519,8
0.95,101,421,-0.0190023752969121,0.0152132514742444,0.0261282660332492,-0.0118764845605745,-4.4817665204033305e-15,0.0,-3.784732943712399e-15,-0.1282660332541569,0.0261282660332516,0.0332541567695915,0.0641330166270738,-0.0118764845605748,0.0261282660332491,0.0285035629453633,0.0475059382422754,0.0641330166270738,4
0.95,102,407,-0.054054054054054,0.0902857654554161,0.0171990171990166,0.0147420147420135,-1.528725063204561e-16,0.0,4.2479041117982064e-16,-0.1179361179361049,0.0368550368550344,0.0270270270270247,0.0319410319410294,0.0049140049140038,0.04176904176904,0.0294840294840275,0.0245700245700225,0.04176904176904,6
0.95,103,399,-0.0451127819548872,0.767300050121213,0.0025062656641616,0.007518796992482,4.575333167888829e-16,0.0,2.7690523485279783e-16,-0.0701754385964948,0.0100250626566402,0.0125313283208033,0.0125313283208042,0.010025062656643,0.022556390977445,0.035087719298247,0.0350877192982473,0.0350877192982473,8
0.95,104,397,-0.0982367758186398,0.0348078197185248,0.0251889168765735,0.0151133501259438,-6.735063895479955e-16,0.0,-1.981921571303502e-16,-0.0831234256926877,-0.0025188916876622,0.0201511335012586,0.0075566750629708,0.0201511335012591,0.0453400503778326,0.0377833753148598,0.0075566750629712,0.0453400503778326,6
0.7,105,375,-0.10933333333333334,0.06106282313355888,0.031999999999999806,-0.002666666666666785,-4.2197148553135833e-16,0.0,3.469446951953614e-17,-0.122666666666668,-0.021333333333331553,0.04266666666666823,0.021333333333333895,0.03466666666666719,0.03199999999999944,0.03466666666666629,0.03733333333333259,0.03733333333333259,8
0.7,106,369,-0.02981029810298103,0.9917462901948285,0.0027100271002724807,0.002710027100271256,1.1657341758564144e-15,0.0,-5.583641188300348e-17,-0.11111111111111155,0.008130081300813892,0.002710027100271956,0.07588075880758938,0.03252032520325289,0.03794037940379443,0.01626016260162701,0.035230352303524046,0.07588075880758938,4
0.7,107,401,-0.11221945137157108,0.1334387474727959,0.024937655860351488,0.002493765586034838,1.7672495411513722e-16,0.0,6.121405465853158e-16,-0.14463840399002154,-0.00498753117207143,0.012468827930174498,0.05236907730673364,0.06483790523690816,0.054862842892768736,0.0249376558603497,0.0598503740648386,0.06483790523690816,5
0.7,108,363,-0.08539944903581267,0.278459588116914,-0.02203856749311311,-0.005509641873277276,9.93129189996722e-16,0.0,1.3222929695633212e-15,-0.16804407713498654,0.030303030303032268,0.019283746556473816,0.005509641873278542,0.04132231404958756,0.03856749311294816,0.06887052341597844,0.022038567493113063,0.06887052341597844,7
0.7,109,391,-0.14066496163682865,0.13948843514673348,0.02301790281329745,-0.002557544757035287,-2.054563116860031e-15,0.0,-2.08828180442433e-15,-0.09207161125319993,-0.03580562659846322,-0.015345268542200809,0.023017902813297214,0.012787723785164427,0.0281329923273643,0.02046035805626522,0.03069053708439727,0.03069053708439727,8
0.7,110,365,-0.03561643835616438,0.041927849788859384,0.030136986301371366,-0.008219178082191816,-1.6002824065886045e-16,0.0,2.1293730667615307e-16,-0.1095890410958888,0.019178082191779862,0.05205479452054926,0.024657534246575834,0.027397260273972733,0.0520547945205472,0.06849315068493138,0.03561643835616381,0.06849315068493138,7
0.7,111,434,-0.11059907834101383,0.14220554687452858,0.020737327188939524,0.016129032258064245,7.450637329320386e-16,0.0,3.0010716134398763e-16,-0.15207373271889768,0.006912442396312741,0.025345622119816474,0.04608294930875656,0.05529953917050694,0.009216589861751936,0.03225806451612981,0.013824884792627804,0.05529953917050694,5
0.7,112,372,-0.13709677419354838,0.7898913151880343,0.0026881720430108015,0.013440860215053566,1.3114509478384662e-15,0.0,3.2526065174565133e-18,-0.14247311827956183,2.6506574712925612e-15,0.02150537634408526,-2.4303475898435067e-15,0.04838709677419243,0.03225806451612759,0.05376344086021437,0.032258064516128414,0.05376344086021437,7
0.7,113,379,-0.12401055408970976,0.6010103157509934,0.013192612137204067,0.005277044854880831,5.056718932472393e-16,0.0,5.355958732078392e-16,-0.14511873350923074,-0.042216358839050484,0.05277044854881287,0.029023746701846525,0.034300791556727724,0.042216358839050463,0.03957783641160924,0.03166226912928781,0.042216358839050463,6
