rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
0,False,4,2,0,598227926.9419787,2185.39,0
1,False,5,1,0,29845641.54950389,371.3,3
2,False,5,1,0,30908984.664329458,314.4,1
3,False,5,1,0,82205289.44355045,269.25,0
4,False,4,2,0,61408632.05973612,422.4,0
5,False,5,1,0,100026730.0904774,315.186,7
6,False,2,4,0,361348253.9736612,841.2,0
7,False,0,6,0,46648227.60746843,327.0,0
8,False,0,6,0,140095504.89477187,601.84,0
9,False,5,1,0,192827073.52696067,632.0,0
10,False,0,6,0,101100108.12340553,197.2,0
11,False,4,2,0,167167261.54978386,1244.8,0
12,False,1,5,0,70501180.1796519,633.75,0
13,False,3,3,0,276008338.652383,625.8,0
14,False,0,6,0,475396809.2281293,891.2,0
15,False,5,1,0,127850367.1270409,900.162,0
16,False,0,6,0,306043482.53231543,1692.0,0
17,False,4,2,0,242499095.49349105,452.18,0
18,False,6,0,0,52898824.92219665,314.09000000000003,-1
19,False,3,3,0,147958830.40401605,1294.8,0
20,False,6,0,0,10804203.019656572,85.3,-1
21,False,5,1,0,156868480.70968905,1015.74,0
22,False,5,1,0,524033790.0963671,1070.0,0
23,False,4,2,0,115418279.68705773,1021.8,0
24,False,3,3,0,203449323.10775942,478.5,0
25,False,6,0,0,25386221.300631665,301.0,-1
26,False,4,2,0,116687729.365293,565.4,0
27,False,5,1,0,135685795.38953525,756.9399999999999,0
28,False,1,5,0,28670819.297334984,307.0,0
29,False,3,3,0,65297762.07049599,625.2,0
30,False,3,3,0,208776724.4821311,484.3,0
31,False,2,4,0,26914610.519293107,229.5,1
32,False,6,0,0,57139994.47585827,287.0,-1
33,False,6,0,0,15405343.59383627,168.0,-1
34,False,5,1,0,46547949.82970453,524.0,0
35,False,0,6,0,27300747.482275218,187.4,0
36,False,0,6,0,45425041.880620115,184.7,0
37,False,0,6,0,71878052.75323257,375.8,0
38,False,0,6,0,209050433.68986768,459.8,0
39,False,5,1,0,200764384.27108026,1031.9,0
40,False,0,6,0,345331808.85089123,1225.0,0
41,False,4,2,0,100831013.28678824,182.7,0
42,False,1,5,0,41971360.81666977,239.5,4
43,False,0,6,0,199913604.43508282,700.0,0
44,False,5,1,0,55558361.20924631,243.95000000000002,1
45,False,6,0,0,52970792.02787782,288.4,-1
46,False,6,0,0,15572410.414276395,200.0,-1
47,False,6,0,0,24216567.87795001,189.35999999999999,-1
48,False,4,2,0,40385409.94800322,423.4,1
49,False,2,4,0,204244572.78498718,436.0,0
50,False,0,6,0,164438227.85263392,364.6,0
51,False,1,5,0,100652773.12365952,214.5,0
52,False,0,6,0,132586851.62848651,1212.06,0
53,False,3,3,0,151168739.57892656,491.8,3
54,False,3,3,0,97504447.05324852,544.0,0
55,False,5,1,0,64302617.83973757,159.63,0
56,False,1,5,0,18549032.483783834,240.2,0
57,False,5,1,0,95953975.65413994,373.0,0
58,False,0,6,0,323725845.7142884,774.0,0
59,False,0,6,0,123204197.37735966,956.5,0
60,False,5,1,0,45615241.078453854,464.0,4
61,False,1,5,0,67696927.14041905,341.0,0
62,False,3,3,0,116972616.52994834,333.5,0
63,False,1,5,0,99345714.56191452,572.25,0
64,False,1,5,0,100040932.89680074,1244.0,0
65,False,5,1,0,80860516.15597947,606.2,0
66,False,0,6,0,528281764.13327885,1314.8,0
67,False,0,6,0,217213364.9102666,484.6,0
68,False,5,1,0,210135086.69041312,1918.91,0
69,False,0,6,0,154383638.37643167,1332.7,0
70,False,4,2,0,351039117.4304002,1378.8,0
71,False,6,0,0,27631571.48788192,338.8,-1
72,False,0,6,0,97900356.2666135,1015.0,0
73,False,6,0,0,26920658.964076765,356.7,-1
74,False,5,1,0,182398580.95751417,1035.1,0
75,False,0,6,0,371891020.2456076,720.4,0
76,False,0,6,0,81979915.88009779,164.65,0
77,False,2,4,0,798703838.5374757,3162.28,0
78,False,0,6,0,32921786.115612715,168.34,0
79,False,3,3,0,196780917.32792804,661.05,0
80,False,0,6,0,151300026.24543107,379.9,0
81,False,3,3,0,85382517.08374609,938.1,0
82,False,2,4,0,334909732.6707191,1983.725,0
83,False,5,1,0,402106677.96886235,1061.0,0
84,False,6,0,0,58377936.40145886,324.02,-1
85,False,2,4,0,228130143.96051538,475.0,0
86,False,4,2,0,105630042.48525013,494.062,0
87,False,5,1,0,93820631.47790344,651.5,0
88,False,1,5,0,460523515.10693175,1005.9,0
89,False,6,0,0,118417526.06961823,402.0,-1
90,False,6,0,0,29359212.724667147,56.0,-1
91,False,0,6,0,25999812.24501328,256.6,2
92,False,6,0,0,62948935.2355954,388.0,-1
93,False,6,0,0,28524839.516793806,396.0,-1
94,False,6,0,0,70328582.81206247,515.0,-1
95,False,0,6,0,718152581.1322515,1460.6000000000001,0
96,False,6,0,0,27458619.94875641,313.08000000000004,-1
97,False,5,1,0,38444978.830891415,351.1,22
98,False,5,1,0,4420952.407228946,38.800000000000004,9
99,False,6,0,0,23282364.78951176,218.0,-1
100,False,0,6,0,128177189.80044228,541.7,0
101,False,3,3,0,57036854.38076708,584.0,0
102,False,4,2,0,142346263.9819669,977.32,0
103,False,3,3,0,128881932.95393561,1481.8,0
104,False,5,1,0,79513281.30551402,474.43,0
