event_time,beta,se,p_value,ci_lower,ci_upper
-4,-0.0010245901639349786,0.0030765659433826587,0.7391112923501372,-0.00705465941296499,0.005005479085095032
-3,0.0030737704918040315,0.002711642752477989,0.2569852370275496,-0.002241049303052827,0.00838859028666089
-2,6.945399116942141e-16,,,,
-1,0.0,0.0,,0.0,0.0
0,2.962040335230398e-16,,,,
1,-0.03790983606557388,0.014416513345368347,0.008548237628019265,-0.06616620222249583,-0.009653469908651922
2,-0.004098360655731539,0.013682318540557792,0.7645303448620447,-0.030915704995224808,0.022718983683761733
3,0.011270491803279733,0.011460649426889498,0.3254067830527614,-0.011192381073423683,0.03373336467998315
4,0.02459016393442409,0.010529560993934444,0.019525373836542688,0.00395222438631258,0.0452281034825356
5,0.021516393442624276,0.01331470958094924,0.10609719128819332,-0.004580437336036233,0.047613224221284785
6,0.009221311475409439,0.00851398544802886,0.2787737434158405,-0.007466100002727129,0.025908722953546008
7,0.02868852459016352,0.010006465242754631,0.004143844860702863,0.009075852714364441,0.04830119646596259
8,0.011270491803277603,0.006394559308984336,0.07798271755516613,-0.0012628444423316947,0.0238038280488869
