pair_id,role,entity_poi,depth,pre_wd_count,mean_mw,mean_q_year,dominant_type,n_types
0,treated,PJM||hawkins gate / oak grove 230 kv,1,0,450.0,1999.0,Gas,1
0,control,PJM||bayonne,1,0,60.0,1999.0,Gas,1
1,treated,PJM||lasalle,1,0,350.0,2012.0,Nuclear,1
1,control,PJM||beaver valley #1,1,0,48.0,2008.0,Nuclear,1
2,treated,PJM||heartsease dp mayo dunbar 115 kv,1,0,75.0,2016.0,Solar,1
2,control,PJM||64th st 13 kv,1,0,0.54,2018.0,Solar,1
3,treated,CAISO||colorado river substation 230 kv bus,1,0,224.0,2010.0,Solar,1
3,control,CAISO||angiola substation 70 kv bus,1,0,150.0,2010.0,Solar,1
4,treated,PJM||lexington dooms 230 kv,1,0,50.0,2023.0,Solar,1
4,control,PJM||abw tap alexandria 46 kv,1,0,20.0,2019.0,Solar,1
5,treated,PJM||keystone conemaugh 500 kv,1,0,646.0,2001.0,Gas,1
5,control,PJM||bald eagle 46 kv,1,0,88.0,2000.0,Gas,1
6,treated,PJM||dresden,1,0,3.0,2011.0,Nuclear,1
6,control,PJM||braidwood 1,1,0,20.0,2009.0,Nuclear,1
7,treated,PJM||possum point 230 kv,2,0,505.0,2008.0,Battery,1
7,control,PJM||arnold 115 kv,1,0,10.4,1999.0,Battery,1
8,treated,CAISO||henrietta gwf 115 kv line,2,0,56.75,2011.5,Solar,1
8,control,CAISO||cottonwind whirlwind 230 kv line,2,0,293.0,2008.0,Solar,1
9,treated,PJM||cowen 138 kv,1,0,210.0,2021.0,Solar,1
9,control,PJM||abw tap williamsburg 46 kv,1,0,20.0,2019.0,Solar,1
10,treated,PJM||jenkins harwood #2 69 kv,1,0,51.0,2005.0,Wind,1
10,control,PJM||arnold (green mountain) 115 kv,1,0,2.08,2003.0,Wind,1
11,treated,CAISO||giffen substation 70 kv,1,0,20.0,2011.0,Solar,1
11,control,CAISO||alpaugh smyrna 115 kv line,1,0,40.0,2012.0,Solar,1
12,treated,PJM||motion ridgeway 46 kv,1,0,20.0,2019.0,Solar,1
12,control,PJM||adkins atlanta 345 kv,1,0,200.0,2021.0,Solar,1
13,treated,CAISO||lugo pisgah 230 kv line,3,0,220.33333333333334,2006.3333333333333,Wind,2
13,control,CAISO||crestwood,2,0,76.5,2004.0,Wind,1
14,treated,PJM||wrightstown 345 kv,1,0,6.0,2010.0,Solar,1
14,control,PJM||absecon 12 kv,1,0,2.3,2015.0,Solar,1
15,treated,PJM||bayview,1,0,20.0,2009.0,Solar,1
15,control,PJM||allenwood larabee 345 kv,1,0,7.0,2010.0,Solar,1
16,treated,PSCo||pawnee daniels park 230 kv line,2,0,160.0,2004.0,Wind,1
16,control,PSCo||keenesburg substation,2,0,125.0,,Wind,1
17,treated,PJM||davis creek 345 kv,2,0,390.0,2016.5,Wind,2
17,control,PJM||fostoria central greenlawn howard 138 kv,2,0,100.0,2008.0,Wind,1
18,treated,CAISO||loop tesla stagg and tesla eight mile 230 kv lines,1,0,315.0,2008.0,Gas,1
18,control,CAISO||115 kv panoche substation,1,0,49.9000015258789,2004.0,Gas,1
19,treated,PSCo||badger hill 230 kv substation,1,0,200.0,2018.0,Battery,1
19,control,PSCo||badger hill 230 kv,1,0,50.0,2020.0,Battery,1
20,treated,ISO-NE||eversource north bloomfield 2a,1,0,26.0,2021.0,Battery,1
20,control,ISO-NE||115 kv b128 line; 1888 miles from barre b128 and 53 miles from french king,1,0,105.0,2021.0,Battery,1
21,treated,PJM||calvert cliffs,1,0,1640.0,2006.0,Nuclear,1
21,control,PJM||north anna 500 kv,1,0,1594.0,2006.0,Nuclear,1
