event_time,beta,se,p_value,ci_lower,ci_upper
-4,-0.00104602510460161,0.003140989013482982,0.7391160756489329,-0.007202363571028255,0.005110313361825034
-3,0.0031380753138086368,0.0027683894558287498,0.256988291644907,-0.0022879680196157123,0.008564118647232985
-2,6.990935608186533e-16,,,,
-1,0.0,0.0,,0.0,0.0
0,7.892991815694472e-16,,,,
1,-0.03974895397490045,0.014677095487276134,0.006764307566173313,-0.06851606112996167,-0.010981846819839228
2,-0.0020920502091990607,0.013890618173642297,0.8802842695037337,-0.02931766182953796,0.025133561411139843
3,0.009414225941424584,0.011608425679101074,0.41737592524042355,-0.01333828838961352,0.03216674027246269
4,0.02301255230125813,0.01054848271689936,0.029139190094912146,0.0023375261761353835,0.04368757842638088
5,0.02092050209205002,0.013554501666178442,0.12272509156088256,-0.005646321173659725,0.04748732535775976
6,0.00836820083682032,0.008630003520241033,0.3322141677613869,-0.008546606062852104,0.025283007736492745
7,0.026150627615063024,0.009952345167391517,0.008599348831922768,0.0066440310869756505,0.0456572241431504
8,0.011506276150627897,0.006528250919083095,0.07797880822813259,-0.0012890956507749709,0.024301647952030762
