event_time,beta,se,p_value,ci_lower,ci_upper
-4,-0.001104972375688998,0.0033181686592441114,0.7391292301155755,-0.007608582947807457,0.00539863819642946
-3,0.0033149171270722474,0.002924449782997239,0.25699669215116505,-0.002417004447602341,0.009046838701746836
-2,2.677979366039196e-16,,,,
-1,0.0,0.0,,0.0,0.0
0,7.117787262367337e-16,,,,
1,-0.03314917127071483,0.015045139299640728,0.027572600464608334,-0.06263764429801066,-0.003660698243419004
2,-0.009944751381216182,0.013855744407104754,0.47292075755564134,-0.037102010419141504,0.017212507656709137
3,0.011049723756905366,0.011804448792065355,0.3492400536696607,-0.012086995875542728,0.03418644338935346
4,0.02099447513812222,0.011094436264706211,0.058445339231528275,-0.0007506199407019513,0.042739570216946396
5,0.013259668508289066,0.01210894665739907,0.2735031806939866,-0.01047386694021311,0.036993203956791246
6,0.00994475138121688,0.009047966683688588,0.27171812583467914,-0.007789263318812752,0.02767876608124651
7,0.030939226519338284,0.01078874831687876,0.004134270559993502,0.009793279818255916,0.05208517322042065
8,0.009944751381217278,0.0065355460852484885,0.12809919266511746,-0.0028649189458697585,0.022754421708304315
