entity,n,n_events,peer_wd_rate_coef,se,p_value,odds_ratio,ci_lower,ci_upper
WAPA-IS,172,124,3.686868268130007,0.6082259769217003,1.347111124469988e-09,39.9196334038181,12.118647152903074,131.49793957929387
FPL,363,106,3.6268830874547238,0.4065061546692875,4.575844856650114e-19,37.59545206848483,16.947681237194047,83.39890256678875
IP,331,173,3.4423461445941395,0.4375445015415742,3.620310654696308e-15,31.26021318144819,13.260091982485106,73.69488307021889
CAISO,1650,1027,2.9518068222386855,0.16006411674857948,6.113460494519841e-76,19.14050599582189,13.986340201416844,26.194055378331264
NWMT,243,167,2.7930869174033646,0.39609107934863247,1.768365390878372e-12,16.331355616439147,7.5138531382634355,35.49619234802344
PSCo,265,207,2.7509846397779665,0.648181077920074,2.1941310512474666e-05,15.658041827149823,4.395361265904418,55.78023261992884
Duke,516,333,2.6818381399208984,0.27744408143631005,4.195517332236183e-22,14.611927392975037,8.482860705873613,25.16938914129982
APS,271,185,2.56749329112214,0.3799821550019038,1.4099623315110283e-11,13.033113238671111,6.188719920426777,27.447039593982858
MISO,1354,508,2.529194587780111,0.14259618874051183,2.1815115227525196e-70,12.5433994599901,9.484947400715358,16.5880593076366
PNM,133,91,2.478007450224672,0.6389006624977666,0.00010508141355828353,11.917494543309644,3.406761562805943,41.68964383666358
ERCOT,872,155,2.4393439846083615,0.2410397090515304,4.499933333494925e-24,11.465516719685983,7.148525808850022,18.389536131582684
BPA,382,194,2.2924379162389457,0.2843809407507411,7.557894027721188e-16,9.899041321494568,5.669218470606152,17.284749140066165
ISO-NE,321,172,2.2419206628695965,0.2840600409174355,2.9638637712445165e-15,9.411390046911302,5.393329880032654,16.422926945934343
SPP,1044,551,2.1865251432450155,0.16798862249723312,9.934890011484428e-39,8.90421841131458,6.4062075062787525,12.3762936868164
PacifiCorp,1441,944,2.1537601435895346,0.18272496148462578,4.5603993466569076e-32,8.617199462867532,6.023203249673233,12.328344819988098
PJM,4223,2255,2.036367317569453,0.08319911581270688,2.672445628931218e-132,7.66272234067907,6.509723945111199,9.01993911960565
SOCO,679,524,1.5969026436738927,0.31418992994997735,3.72297537757075e-07,4.937714852317295,2.667363098818892,9.140498334700183
SRP,101,69,1.341857209208495,0.7429473395105851,0.07089851273215626,3.826142858583624,0.8919728570045098,16.412348267472506
NYISO,663,477,0.7440824150871365,0.2109252202684969,0.0004191755742984826,2.1045094826008888,1.3918989743227204,3.1819551878843324
