entity,n_projects,n_withdrawn,wd_rate,n_pois,mean_poi_depth
PJM,4223,2255,0.5339805825242718,1436,3.8340042623727206
CAISO,1650,1027,0.6224242424242424,475,6.486060606060606
PacifiCorp,1441,944,0.6551006245662734,360,7.738376127689105
MISO,1354,508,0.37518463810930575,550,6.301329394387001
SPP,1044,551,0.5277777777777778,356,3.9099616858237547
ERCOT,872,155,0.17775229357798164,355,2.864678899082569
SOCO,679,524,0.7717231222385862,225,4.678939617083947
NYISO,663,477,0.7194570135746606,256,3.2805429864253393
Duke,516,333,0.6453488372093024,161,4.224806201550388
BPA,382,194,0.5078534031413613,145,3.3612565445026177
FPL,363,106,0.29201101928374656,76,10.393939393939394
IP,331,173,0.5226586102719033,48,57.996978851963746
ISO-NE,321,172,0.5358255451713395,136,2.7009345794392523
APS,271,185,0.6826568265682657,93,3.6346863468634685
PSCo,265,207,0.7811320754716982,62,7.143396226415095
NWMT,243,167,0.6872427983539094,90,3.5761316872427984
WAPA-IS,172,124,0.7209302325581395,58,3.7790697674418605
PNM,133,91,0.6842105263157895,44,3.992481203007519
SRP,101,69,0.6831683168316832,25,5.376237623762377
PSE,94,50,0.5319148936170213,29,4.680851063829787
TEC,92,63,0.6847826086956522,23,6.260869565217392
TEP,87,60,0.6896551724137931,20,6.609195402298851
LADWP,76,28,0.3684210526315789,18,7.342105263157895
PGE,56,14,0.25,20,3.2142857142857144
PRPA,54,30,0.5555555555555556,6,14.62962962962963
Avista,53,34,0.6415094339622641,22,2.5849056603773586
TSGT,51,18,0.35294117647058826,19,2.9607843137254903
AEC,47,31,0.6595744680851063,20,2.574468085106383
SRP_ANPP,45,22,0.4888888888888889,2,29.444444444444443
WAPA-RM,41,29,0.7073170731707317,15,3.1951219512195124
LGE-KU,40,26,0.65,16,3.15
GTC,33,0,0.0,15,2.272727272727273
TVA,32,0,0.0,13,2.625
MPC,29,16,0.5517241379310345,6,7.9655172413793105
SRP_PV-PC,29,20,0.6896551724137931,4,12.10344827586207
Dominion,28,14,0.5,11,2.7142857142857144
EPE,25,8,0.32,12,2.12
BHCT,24,15,0.625,10,2.5833333333333335
WAPA-DSW,23,0,0.0,8,3.1739130434782608
CLPT,22,11,0.5,7,3.5454545454545454
IID,17,0,0.0,5,4.0588235294117645
SMUD,17,7,0.4117647058823529,6,3.235294117647059
BHP,15,3,0.2,5,3.533333333333333
OUC,7,2,0.2857142857142857,3,2.4285714285714284
N-C,7,0,0.0,2,3.5714285714285716
SRP_SWV,4,3,0.75,1,4.0
CSU,4,0,0.0,1,4.0
GrantPUD,4,0,0.0,1,4.0
WAPA-MPP,4,0,0.0,2,2.0
WAPA-SN,4,0,0.0,2,2.0
SRP_Gila,3,3,1.0,1,3.0
JEA,3,0,0.0,1,3.0
CPUD,2,2,1.0,1,2.0
