,coef,se,z,p_value,odds_ratio,ci_lower,ci_upper
const,-2.589927228116292,0.3409974451330067,-7.5951514155951685,3.0743274059814413e-14,0.07502549963360822,0.03845486975605667,0.14637484487607716
peer_wd_rate,2.3574449152873624,0.06601995331852034,35.70806698262292,2.9631900407567108e-279,10.563925216150267,9.281732159716286,12.023242434936478
mw1_log,0.03388034325052359,0.016318800201133712,2.076154057463724,0.037879704847865306,1.0344608191031786,1.0018978812866308,1.0680820932422692
q_year,0.0008394635500041772,0.0001513797988625974,5.545413300265588,2.9326062277951215e-08,1.0008398159981455,1.0005429119196028,1.0011368081808876
type_Gas,0.2151571905212,0.08336952760979902,2.5807653790269414,0.009858155463060828,1.2400568068224516,1.0531186648816786,1.4601781693038984
type_Other,0.24744858712607562,0.09466941761234032,2.6138175703092132,0.008953683047324081,1.280753513472079,1.063855888033395,1.5418719590896173
type_Solar,0.2423653590457674,0.060155223294007985,4.028999408101428,5.601475935557618e-05,1.2742596700749718,1.1325404417676244,1.4337127813690347
type_Solar+Battery,-0.24040536090032072,0.07559384505484718,-3.1802240079981963,0.0014716124526530502,0.7863090575081882,0.6780280808878313,0.9118824888636139
type_Wind,0.4392024229474479,0.06901812561552056,6.363580856920309,1.9710355513626696e-10,1.5514693085944133,1.3551733537028332,1.7761986014065727
entity_ERCOT,-1.8069824269111836,0.19414804287000462,-9.307239981404715,1.3119721195475105e-20,0.16414872096843122,0.11219626237599273,0.24015775592661304
entity_MISO,-0.8395135093691658,0.1403616771875116,-5.981073510881785,2.2167179913816043e-09,0.43192059764938723,0.3280407824903602,0.5686957617206816
entity_NYISO,-0.6803556595177522,0.48714258942513083,-1.396625288543605,0.16252628157080107,0.5064368412485285,0.19492554962297742,1.3157755597963652
entity_Other,-0.1903564427096472,0.12215429690998526,-1.5583278486709284,0.11915555059982362,0.826664422915811,0.6506558237009907,1.0502850250807496
entity_PJM,-0.47763958903617415,0.13178248414682406,-3.624454282589005,0.0002895722348793871,0.6202457000536611,0.4790604391536491,0.8030400696720226
entity_PacifiCorp,0.1499912177966725,0.14505817209710842,1.0340073615174308,0.3011327217833003,1.1618240393085348,0.8743123606071581,1.5438819798656622
entity_SOCO,0.5130965628150119,0.15215230864532622,3.3722561779267033,0.0007455506641580528,1.6704558659735773,1.2397174834184763,2.250853793294133
entity_SPP,-0.5529372953747329,0.13758031409585228,-4.019014631624559,5.8442041975035244e-05,0.5752576248120642,0.4392925196703566,0.7533051897918492
state_CA,-0.21300211352219856,0.13809352614199666,-1.5424482194999936,0.12296471166080984,0.8081544291623575,0.6165225058167025,1.0593507539673048
state_FL,-0.5132303193717453,0.11717765083623732,-4.379933508728683,1.187155272415663e-05,0.5985589160151398,0.47573500364585686,0.7530931573156259
state_NJ,0.288481393813496,0.11616760787327028,2.4833204289461355,0.013016394268251505,1.3343995212055575,1.062683237968711,1.6755906356415575
state_NY,0.6683118802740406,0.492042662758714,1.3582397032953317,0.17438763607658647,1.9509411170417013,0.7437323767045247,5.117662429903954
state_OR,-0.29803062606668823,0.10782904093233783,-2.7639179899012634,0.005711189147658265,0.74227860632556,0.6008730110988978,0.9169616861322635
state_Other,-0.17495402414263664,0.08882546520643461,-1.9696381407745533,0.04887985715425198,0.839495616412684,0.7053587524633893,0.9991410576743238
state_PA,0.10893819340307559,0.11302175408734962,0.9638692505062519,0.33511148201363594,1.1150934280815021,0.8935255279321701,1.3916036134167935
state_TX,0.1921200540540504,0.1531496845997558,1.2544593516868183,0.20967509142990703,1.2118159916548739,0.8975846800811474,1.6360551045698817
state_UT,-0.43277904621640373,0.12971312067865606,-3.3364323050136617,0.0008486109257134783,0.6487038095322454,0.5030769738492408,0.8364855765148888
state_VA,-0.11317443130120011,0.11002256648357929,-1.0286474395058876,0.3036453769890185,0.8929948802710392,0.7197763796046143,1.1078994515328988
