covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),hazard_ratio,hr_ci_lower,hr_ci_upper
cumulative_peer_wd,0.02299539415695926,1.0232618265530011,0.008992116597895443,0.005371169480299354,0.04061961883361917,1.0053856200716997,1.0414558799895228,0.0,2.55728380594411,0.010549310997140305,6.566707413919912,1.0232618265530011,1.0053852944723762,1.0414562172704955
mw1_log,-0.002865576252264044,0.9971385255923797,0.017048092959669112,-0.036279224458306364,0.030548071953778275,0.9643709799209312,1.0310194519769418,0.0,-0.1680877890003987,0.8665142156400796,0.20670467710582316,0.9971385255923797,0.9643703878022408,1.031020085017831
q_year,0.001764272099855768,1.0017658293435427,0.00017480888191369502,0.0014216529871272105,0.0021068912125843256,1.0014226640147885,1.0021091122674415,0.0,10.092576993466544,5.958436662897636e-24,77.15134042220326,1.0017658293435427,1.0014226577100094,1.0021091185765425
type_Gas,-0.3839910829938359,0.6811375008597613,0.0959080783575313,-0.5719674624010427,-0.19601470358662912,0.564413882493145,0.8220001482389411,0.0,-4.003740764801618,6.234868487385977e-05,13.969281344950764,0.6811375008597613,0.5644119329130053,0.8220029875750187
type_Other,-0.23644314708144862,0.7894307624690131,0.098961827928445,-0.4304047656654509,-0.04248152849744635,0.6502458442576781,0.9584081685963789,0.0,-2.3892358501341584,0.01688345997714317,5.888245599689932,0.7894307624690131,0.6502435266843435,0.9584115845184512
type_Solar,0.06770475253169354,1.0700493324791351,0.06767020203135603,-0.06492640627631348,0.20033591133970058,0.9371364281990366,1.2218131101140561,0.0,1.000510571851426,0.31706348405909457,1.6571563618807286,1.0700493324791351,0.9371341442377974,1.2218160878881585
type_Solar+Battery,-0.24093078569423793,0.7858960197533327,0.08661600666482358,-0.4106950392419734,-0.07116653214650243,0.6631891474303292,0.9313067866946896,0.0,-2.7815965543939645,0.005409223750208922,7.530362709477867,0.7858960197533327,0.6631870786048515,0.9313096919250087
type_Wind,-0.24939040325346015,0.7792756822287521,0.09054774870382472,-0.42686072959413995,-0.07192007691278035,0.6525544274195936,0.9306052696852075,0.0,-2.7542418980420873,0.005882826998696909,7.4092746743486435,0.7792756822287521,0.6525522993655414,0.9306083045045117
entity_ERCOT,-0.5947064880989773,0.551724479805742,0.11339613330510145,-0.8169588253630791,-0.37245415083487554,0.4417731228688528,0.689041242799378,0.0,-5.244504118133125,1.5670320610422582e-07,22.605461966957844,0.551724479805742,0.4417713186649639,0.6890440568591356
entity_ISO-NE,-0.21696046359229212,0.8049617939735566,0.13610531386031569,-0.4837219768630311,0.04980104967844687,0.6164845750637873,1.0510619664572827,0.0,-1.594063137130397,0.1109218943158046,3.1723839349490754,0.8049617939735566,0.6164815531282422,1.0510671186658127
entity_PJM,0.02656972271309286,1.0269258448217113,0.05966223225037852,-0.09036610373491313,0.14350554916109887,0.9135966528913603,1.154313216259331,0.0,0.44533571257592847,0.6560771631492281,0.6080625904922212,1.0269258448217113,0.9135946897910259,1.1543156966072203
entity_PSCo,0.5228994465077461,1.686911675958598,0.09539180342215181,0.33593494738000385,0.7098639456354884,1.3992479971019314,2.033714544083172,0.0,5.481597241575148,4.215029380490841e-08,24.49988207171785,1.686911675958598,1.3992431898822095,2.0337215310835273
entity_SOCO,0.8193755429693421,2.269082450540446,0.07847953356214159,0.6655584836640422,0.973192602274642,1.9455767908315318,2.646379825054392,0.0,10.440627075345,1.617387453268365e-25,82.3545370471445,2.269082450540446,1.94557129171223,2.6463873049953426
