covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),hazard_ratio,hr_ci_lower,hr_ci_upper
cumulative_peer_wd,0.011321498240548466,1.011385828945857,0.008398893069024424,-0.005140029684742489,0.02778302616583942,0.9948731576637088,1.0281725736722145,0.0,1.347975042366329,0.17766640994546987,2.4927571472619574,1.011385828945857,0.9948728567245758,1.0281728846841802
mw1_log,-0.013989992713128237,0.9861074124732478,0.012968623123245227,-0.039408026963762235,0.011428041537505759,0.9613583689727457,1.0114935910671328,0.0,-1.0787569798410046,0.28069607731946683,1.832919192316923,0.9861074124732478,0.9613579199503064,1.011494063506492
q_year,0.001914738253600266,1.0019165725354264,0.00016325249975321547,0.0015947692336978295,0.0022347072735027025,1.001596041554415,1.0022372060928315,0.0,11.728691790292496,9.085194445466886e-32,103.11818164438984,1.0019165725354264,1.001596035665417,1.0022372119855996
type_Gas,-0.5857601498695626,0.5566825387788431,0.07385150846625761,-0.7305064466673824,-0.4410138530717428,0.48166499067974905,0.6433837936693689,0.0,-7.931593572488685,2.163514900341587e-15,48.715544366532654,0.5566825387788431,0.4816637095508155,0.6433855049413146
type_Other,-0.29556713958106423,0.744109453848961,0.07502031902113329,-0.44260426297119065,-0.1485300161909378,0.6423613629722356,0.86197413360201,0.0,-3.939827815152355,8.154011174883203e-05,13.582130540428903,0.744109453848961,0.6423596273840055,0.8619764625655643
type_Solar,0.05797688212317944,1.0596904976327246,0.051522208094505126,-0.043004790146028656,0.15895855439238754,0.9579068015425795,1.1722893594290613,0.0,1.1252794526359344,0.2604706339134231,1.9408073661287797,1.0596904976327246,0.9579050240561784,1.1722915347265515
type_Solar+Battery,-0.1658673915946098,0.8471585670877859,0.06776232770430009,-0.29867911340363873,-0.033055669785580916,0.7417974040925095,0.967484698424112,0.0,-2.4477817869306184,0.014373867931703057,6.120407854144274,0.8471585670877859,0.7417955937445339,0.9674870595650786
type_Wind,-0.34398839057069674,0.7089371583575564,0.07122456931560824,-0.48358598124366553,-0.20439079989772796,0.616568419966543,0.8151437508384866,0.0,-4.829631037099367,1.3678627372570524e-06,19.479645103876766,0.7089371583575564,0.6165668383561248,0.8151458418361992
entity_ERCOT,-0.8342585353260339,0.43419630332894843,0.08708559165444058,-1.0049431585410993,-0.6635739121109685,0.3660654419064278,0.5150074501507154,0.0,-9.579753888983245,9.727645788128453e-22,69.80032739050591,0.43419630332894843,0.366064293770459,0.5150090654368489
entity_ISO-NE,-0.24198855419656135,0.78506516320195,0.08990856690774958,-0.4182061072373603,-0.06577100115576243,0.6582265491874608,0.9363452617250422,0.0,-2.6914960667191257,0.007113233710011197,7.135278719639906,0.78506516320195,0.6582244177885824,0.9363482937080357
entity_PJM,0.0058191876927807485,1.00583615205579,0.04653372844875015,-0.08538524413313646,0.09702361951869796,0.9181585010835271,1.101886399340064,0.0,0.1250531149505826,0.9004815006810242,0.15123145690116357,1.00583615205579,0.9181569623121042,1.101888246030088
entity_PSCo,0.5758498755120273,1.778641508612764,0.08170149166584036,0.4157178943637808,0.7359818566602737,1.5154582892372432,2.0875306424649716,0.0,7.048217404245899,1.8122434592449301e-12,39.00536035663539,1.778641508612764,1.5154538299823275,2.087536785067996
entity_SOCO,0.8016439874338077,2.229202698939914,0.06064045602437852,0.6827908776199408,0.9204970972476746,1.9793942778389717,2.510538061364075,0.0,13.219623333827384,6.760162541896021e-40,130.12006586029352,2.229202698939914,1.9793899548586342,2.5105435443699124
